Airline,Date,EBITDA,Status,Country,Region,IATA
China Southern,2001'Q1,20.0,public,CN,China,CZ
Hainan Airlines,2001'Q1,30.0,public,CN,China,HU
SpiceJet,2001'Q1,-50.0,public,IN,India,SG
Kenya Airlines,2001'Q1,11.0,public,KE,Africa,KQ
Comair,2001'Q1,15.0,public,ZA,Africa,MN
Emirates,2001'Q1,16.0,private,AE,Middle East,EK
Aeroflot,2001'Q1,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q2,5.0,public,US,North America,AA
Delta Air Lines,2001'Q2,9.0,public,US,North America,DL
Southwest Airlines,2001'Q2,20.0,public,US,North America,WN
United Airlines,2001'Q2,1.0,public,US,North America,UA
Alaska Air,2001'Q2,5.0,public,US,North America,AS
JetBlue,2001'Q2,12.0,public,US,North America,B6
Hawaiian,2001'Q2,1.0,public,US,North America,HA
SkyWest,2001'Q2,19.0,public,US,North America,OO
Northwest Airlines,2001'Q2,4.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q2,6.0,public,CA,North America,AC
WestJet Airlines,2001'Q2,24.0,public,CA,North America,WS
IAG,2001'Q2,11.0,public,EU,Europe,IAG
Air France-KLM,2001'Q2,12.0,public,EU,Europe,AF/KL
Ryanair,2001'Q2,36.0,public,EU,Europe,FR
Deutsche Lufthansa,2001'Q2,12.0,public,EU,Europe,LH
Finnair,2001'Q2,12.0,public,EU,Europe,AY
Singapore Airlines,2001'Q2,22.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q2,27.0,public,AU,Asia Pacific,QF
Japan Airlines,2001'Q2,7.0,public,JP,Asia Pacific,JL
ANA Holdings,2001'Q2,9.0,public,JP,Asia Pacific,NH
Korean Air,2001'Q2,3.0,public,KR,Asia Pacific,KE
Asiana Airlines,2001'Q2,0.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2001'Q2,22.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q2,9.0,public,CL,Latin America,LA
China Eastern,2001'Q2,26.0,public,CN,China,MU
China Southern,2001'Q2,20.0,public,CN,China,CZ
Hainan Airlines,2001'Q2,31.0,public,CN,China,HU
SpiceJet,2001'Q2,-50.0,public,IN,India,SG
Kenya Airlines,2001'Q2,10.0,public,KE,Africa,KQ
Comair,2001'Q2,13.0,public,ZA,Africa,MN
Emirates,2001'Q2,16.0,private,AE,Middle East,EK
Aeroflot,2001'Q2,12.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q3,1.0,public,US,North America,AA
Delta Air Lines,2001'Q3,5.0,public,US,North America,DL
Southwest Airlines,2001'Q3,19.0,public,US,North America,WN
United Airlines,2001'Q3,-4.0,public,US,North America,UA
Alaska Air,2001'Q3,5.0,public,US,North America,AS
JetBlue,2001'Q3,12.0,public,US,North America,B6
Hawaiian,2001'Q3,0.0,public,US,North America,HA
SkyWest,2001'Q3,18.0,public,US,North America,OO
Northwest Airlines,2001'Q3,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q3,2.0,public,CA,North America,AC
WestJet Airlines,2001'Q3,23.0,public,CA,North America,WS
IAG,2001'Q3,10.0,public,EU,Europe,IAG
Air France-KLM,2001'Q3,11.0,public,EU,Europe,AF/KL
Ryanair,2001'Q3,36.0,public,EU,Europe,FR
Deutsche Lufthansa,2001'Q3,12.0,public,EU,Europe,LH
Finnair,2001'Q3,10.0,public,EU,Europe,AY
Singapore Airlines,2001'Q3,21.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q3,27.0,public,AU,Asia Pacific,QF
Japan Airlines,2001'Q3,6.0,public,JP,Asia Pacific,JL
ANA Holdings,2001'Q3,8.0,public,JP,Asia Pacific,NH
Korean Air,2001'Q3,2.0,public,KR,Asia Pacific,KE
Asiana Airlines,2001'Q3,0.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2001'Q3,21.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q3,8.0,public,CL,Latin America,LA
China Eastern,2001'Q3,24.0,public,CN,China,MU
China Southern,2001'Q3,19.0,public,CN,China,CZ
Hainan Airlines,2001'Q3,31.0,public,CN,China,HU
SpiceJet,2001'Q3,-50.0,public,IN,India,SG
Kenya Airlines,2001'Q3,9.0,public,KE,Africa,KQ
Comair,2001'Q3,12.0,public,ZA,Africa,MN
Emirates,2001'Q3,15.0,private,AE,Middle East,EK
Aeroflot,2001'Q3,11.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q4,-2.0,public,US,North America,AA
Delta Air Lines,2001'Q4,1.0,public,US,North America,DL
Southwest Airlines,2001'Q4,17.0,public,US,North America,WN
United Airlines,2001'Q4,-8.0,public,US,North America,UA
Alaska Air,2001'Q4,4.0,public,US,North America,AS
JetBlue,2001'Q4,12.0,public,US,North America,B6
Hawaiian,2001'Q4,-1.0,public,US,North America,HA
SkyWest,2001'Q4,17.0,public,US,North America,OO
Northwest Airlines,2001'Q4,-2.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q4,-2.0,public,CA,North America,AC
WestJet Airlines,2001'Q4,23.0,public,CA,North America,WS
IAG,2001'Q4,9.0,public,EU,Europe,IAG
Air France-KLM,2001'Q4,10.0,public,EU,Europe,AF/KL
Ryanair,2001'Q4,36.0,public,EU,Europe,FR
Deutsche Lufthansa,2001'Q4,11.0,public,EU,Europe,LH
Finnair,2001'Q4,9.0,public,EU,Europe,AY
Singapore Airlines,2001'Q4,19.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q4,27.0,public,AU,Asia Pacific,QF
