Airline,Date,Value,Status,Country,Region,IATA
Singapore Airlines,2002'Q4,5955.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q4,6395.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q4,4243.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q4,1466.0,public,CL,Latin America,LA
China Eastern,2002'Q4,1607.0,public,CN,China,MU
China Southern,2002'Q4,2177.0,public,CN,China,CZ
Hainan Airlines,2002'Q4,583.0,public,CN,China,HU
Aeroflot,2002'Q4,1576.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q1,17425.0,public,US,North America,AA
Delta Air Lines,2003'Q1,13977.0,public,US,North America,DL
Southwest Airlines,2003'Q1,5626.0,public,US,North America,WN
United Airlines,2003'Q1,15599.0,public,US,North America,UA
Alaska Air,2003'Q1,2279.0,public,US,North America,AS
JetBlue,2003'Q1,726.0,public,US,North America,B6
SkyWest,2003'Q1,803.0,public,US,North America,OO
Northwest Airlines,2003'Q1,10001.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q1,6330.0,public,CA,North America,AC
Air France-KLM,2003'Q1,14152.0,public,EU,Europe,AF/KL
Ryanair,2003'Q1,1017.0,public,EU,Europe,FR
Finnair,2003'Q1,1813.0,public,EU,Europe,AY
Singapore Airlines,2003'Q1,5920.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q1,6694.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q1,4142.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q1,1514.0,public,CL,Latin America,LA
China Eastern,2003'Q1,1637.0,public,CN,China,MU
China Southern,2003'Q1,2161.0,public,CN,China,CZ
Hainan Airlines,2003'Q1,599.0,public,CN,China,HU
Aeroflot,2003'Q1,1621.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q2,17430.0,public,US,North America,AA
Delta Air Lines,2003'Q2,14087.0,public,US,North America,DL
Southwest Airlines,2003'Q2,5729.0,public,US,North America,WN
United Airlines,2003'Q2,15375.0,public,US,North America,UA
Alaska Air,2003'Q2,2334.0,public,US,North America,AS
JetBlue,2003'Q2,817.0,public,US,North America,B6
SkyWest,2003'Q2,831.0,public,US,North America,OO
Northwest Airlines,2003'Q2,10027.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q2,6378.0,public,CA,North America,AC
Air France-KLM,2003'Q2,14480.0,public,EU,Europe,AF/KL
