Airline,Date,Value,Status,Country,Region,IATA
Qantas Airways,2010'Q2,11773.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q2,10335.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q2,4101.0,public,CL,Latin America,LA
Air China,2010'Q2,10326.0,public,CN,China,CA
China Eastern,2010'Q2,8910.0,public,CN,China,MU
China Southern,2010'Q2,10054.0,public,CN,China,CZ
Hainan Airlines,2010'Q2,2694.0,public,CN,China,HU
Aeroflot,2010'Q2,3872.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q3,21607.0,public,US,North America,AA
Delta Air Lines,2010'Q3,30832.0,public,US,North America,DL
Southwest Airlines,2010'Q3,11666.0,public,US,North America,WN
United Airlines,2010'Q3,21578.0,public,US,North America,UA
Alaska Air,2010'Q3,3724.0,public,US,North America,AS
JetBlue,2010'Q3,3657.0,public,US,North America,B6
SkyWest,2010'Q3,2727.0,public,US,North America,OO
Air Canada,2010'Q3,10430.0,public,CA,North America,AC
Air France-KLM,2010'Q3,27392.0,public,EU,Europe,AF/KL
Ryanair,2010'Q3,4874.0,public,EU,Europe,FR
easyJet,2010'Q3,4623.0,public,EU,Europe,U2
Finnair,2010'Q3,2710.0,public,EU,Europe,AY
Singapore Airlines,2010'Q3,10899.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q3,11755.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q3,11115.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q3,4315.0,public,CL,Latin America,LA
Air China,2010'Q3,11526.0,public,CN,China,CA
China Eastern,2010'Q3,10139.0,public,CN,China,MU
China Southern,2010'Q3,10921.0,public,CN,China,CZ
Hainan Airlines,2010'Q3,2938.0,public,CN,China,HU
Aeroflot,2010'Q3,4130.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q4,22170.0,public,US,North America,AA
Delta Air Lines,2010'Q4,31755.0,public,US,North America,DL
Southwest Airlines,2010'Q4,12104.0,public,US,North America,WN
United Airlines,2010'Q4,23325.0,public,US,North America,UA
Alaska Air,2010'Q4,3832.0,public,US,North America,AS
JetBlue,2010'Q4,3779.0,public,US,North America,B6
SkyWest,2010'Q4,2765.0,public,US,North America,OO
Air Canada,2010'Q4,10775.0,public,CA,North America,AC
IAG,2010'Q4,19783.0,public,EU,Europe,
Air France-KLM,2010'Q4,24728.0,public,EU,Europe,AF/KL
Ryanair,2010'Q4,5156.0,public,EU,Europe,FR
easyJet,2010'Q4,4731.0,public,EU,Europe,U2
Finnair,2010'Q4,2724.0,public,EU,Europe,AY
Singapore Airlines,2010'Q4,11512.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q4,11738.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q4,11895.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q4,4529.0,public,CL,Latin America,LA
Air China,2010'Q4,12726.0,public,CN,China,CA
China Eastern,2010'Q4,11369.0,public,CN,China,MU
China Southern,2010'Q4,11788.0,public,CN,China,CZ
Hainan Airlines,2010'Q4,3183.0,public,CN,China,HU
Aeroflot,2010'Q4,4389.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q1,22622.0,public,US,North America,AA
Delta Air Lines,2011'Q1,32595.0,public,US,North America,DL
Southwest Airlines,2011'Q1,12993.0,public,US,North America,WN
United Airlines,2011'Q1,26771.0,public,US,North America,UA
Alaska Air,2011'Q1,3954.0,public,US,North America,AS
JetBlue,2011'Q1,3960.0,public,US,North America,B6
SkyWest,2011'Q1,2988.0,public,US,North America,OO
Air Canada,2011'Q1,10925.0,public,CA,North America,AC
IAG,2011'Q1,20046.0,public,EU,Europe,
Air France-KLM,2011'Q1,27077.0,public,EU,Europe,AF/KL
Ryanair,2011'Q1,5333.0,public,EU,Europe,FR
easyJet,2011'Q1,4894.0,public,EU,Europe,U2
Finnair,2011'Q1,2778.0,public,EU,Europe,AY
Singapore Airlines,2011'Q1,11589.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q1,12802.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q1,12090.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q1,4826.0,public,CL,Latin America,LA
Air China,2011'Q1,13442.0,public,CN,China,CA
China Eastern,2011'Q1,11842.0,public,CN,China,MU
China Southern,2011'Q1,12463.0,public,CN,China,CZ
Hainan Airlines,2011'Q1,3398.0,public,CN,China,HU
Aeroflot,2011'Q1,4672.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q2,23075.0,public,US,North America,AA
Delta Air Lines,2011'Q2,33435.0,public,US,North America,DL
Southwest Airlines,2011'Q2,13881.0,public,US,North America,WN
United Airlines,2011'Q2,30218.0,public,US,North America,UA
Alaska Air,2011'Q2,4075.0,public,US,North America,AS
JetBlue,2011'Q2,4142.0,public,US,North America,B6
SkyWest,2011'Q2,3210.0,public,US,North America,OO
Air Canada,2011'Q2,11074.0,public,CA,North America,AC
IAG,2011'Q2,20310.0,public,EU,Europe,
Air France-KLM,2011'Q2,29426.0,public,EU,Europe,AF/KL
Ryanair,2011'Q2,5510.0,public,EU,Europe,FR
easyJet,2011'Q2,5057.0,public,EU,Europe,U2
Finnair,2011'Q2,2832.0,public,EU,Europe,AY
Singapore Airlines,2011'Q2,11665.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q2,13866.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q2,12284.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q2,5124.0,public,CL,Latin America,LA
Air China,2011'Q2,14159.0,public,CN,China,CA
China Eastern,2011'Q2,12315.0,public,CN,China,MU
China Southern,2011'Q2,13137.0,public,CN,China,CZ
Hainan Airlines,2011'Q2,3612.0,public,CN,China,HU
Aeroflot,2011'Q2,4955.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q3,23527.0,public,US,North America,AA
Delta Air Lines,2011'Q3,34275.0,public,US,North America,DL
Southwest Airlines,2011'Q3,14770.0,public,US,North America,WN
United Airlines,2011'Q3,33664.0,public,US,North America,UA
Alaska Air,2011'Q3,4196.0,public,US,North America,AS
JetBlue,2011'Q3,4323.0,public,US,North America,B6
SkyWest,2011'Q3,3432.0,public,US,North America,OO
Air Canada,2011'Q3,11224.0,public,CA,North America,AC
IAG,2011'Q3,20573.0,public,EU,Europe,
Air France-KLM,2011'Q3,31775.0,public,EU,Europe,AF/KL
Ryanair,2011'Q3,5687.0,public,EU,Europe,FR
easyJet,2011'Q3,5220.0,public,EU,Europe,U2
Finnair,2011'Q3,2885.0,public,EU,Europe,AY
Singapore Airlines,2011'Q3,11742.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q3,14930.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q3,12478.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q3,5421.0,public,CL,Latin America,LA
Air China,2011'Q3,14875.0,public,CN,China,CA
China Eastern,2011'Q3,12787.0,public,CN,China,MU
China Southern,2011'Q3,13811.0,public,CN,China,CZ
Hainan Airlines,2011'Q3,3827.0,public,CN,China,HU
Aeroflot,2011'Q3,5239.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q4,23979.0,public,US,North America,AA
Delta Air Lines,2011'Q4,35115.0,public,US,North America,DL
Southwest Airlines,2011'Q4,15658.0,public,US,North America,WN
United Airlines,2011'Q4,37110.0,public,US,North America,UA
Alaska Air,2011'Q4,4318.0,public,US,North America,AS
JetBlue,2011'Q4,4504.0,public,US,North America,B6
SkyWest,2011'Q4,3655.0,public,US,North America,OO
Air Canada,2011'Q4,11373.0,public,CA,North America,AC
IAG,2011'Q4,20836.0,public,EU,Europe,
Air France-KLM,2011'Q4,34124.0,public,EU,Europe,AF/KL
Ryanair,2011'Q4,5864.0,public,EU,Europe,FR
easyJet,2011'Q4,5383.0,public,EU,Europe,U2
Finnair,2011'Q4,2939.0,public,EU,Europe,AY
Singapore Airlines,2011'Q4,11818.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q4,15995.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q4,12672.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q4,5718.0,public,CL,Latin America,LA
Air China,2011'Q4,15592.0,public,CN,China,CA
China Eastern,2011'Q4,13260.0,public,CN,China,MU
China Southern,2011'Q4,14486.0,public,CN,China,CZ
Hainan Airlines,2011'Q4,4042.0,public,CN,China,HU
Aeroflot,2011'Q4,5522.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q1,24198.0,public,US,North America,AA
Delta Air Lines,2012'Q1,35504.0,public,US,North America,DL
Southwest Airlines,2012'Q1,16016.0,public,US,North America,WN
United Airlines,2012'Q1,37121.0,public,US,North America,UA
Alaska Air,2012'Q1,4403.0,public,US,North America,AS
JetBlue,2012'Q1,4624.0,public,US,North America,B6
SkyWest,2012'Q1,3625.0,public,US,North America,OO
Air Canada,2012'Q1,11573.0,public,CA,North America,AC
IAG,2012'Q1,21603.0,public,EU,Europe,
Air France-KLM,2012'Q1,34474.0,public,EU,Europe,AF/KL
Ryanair,2012'Q1,5961.0,public,EU,Europe,FR
easyJet,2012'Q1,5598.0,public,EU,Europe,U2
Finnair,2012'Q1,3019.0,public,EU,Europe,AY
Singapore Airlines,2012'Q1,11899.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q1,16002.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q1,12710.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q1,6774.0,public,CL,Latin America,LA
Air China,2012'Q1,15700.0,public,CN,China,CA
China Eastern,2012'Q1,13353.0,public,CN,China,MU
China Southern,2012'Q1,14880.0,public,CN,China,CZ
Hainan Airlines,2012'Q1,4144.0,public,CN,China,HU
Aeroflot,2012'Q1,6179.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q2,24417.0,public,US,North America,AA
Delta Air Lines,2012'Q2,35893.0,public,US,North America,DL
Southwest Airlines,2012'Q2,16373.0,public,US,North America,WN
United Airlines,2012'Q2,37131.0,public,US,North America,UA
Alaska Air,2012'Q2,4487.0,public,US,North America,AS
JetBlue,2012'Q2,4743.0,public,US,North America,B6
SkyWest,2012'Q2,3595.0,public,US,North America,OO
Air Canada,2012'Q2,11773.0,public,CA,North America,AC
IAG,2012'Q2,22370.0,public,EU,Europe,
Air France-KLM,2012'Q2,34825.0,public,EU,Europe,AF/KL
Ryanair,2012'Q2,6059.0,public,EU,Europe,FR
easyJet,2012'Q2,5812.0,public,EU,Europe,U2
Finnair,2012'Q2,3099.0,public,EU,Europe,AY
Singapore Airlines,2012'Q2,11979.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q2,16009.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q2,12747.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q2,7830.0,public,CL,Latin America,LA
Air China,2012'Q2,15807.0,public,CN,China,CA
China Eastern,2012'Q2,13446.0,public,CN,China,MU
China Southern,2012'Q2,15275.0,public,CN,China,CZ
Hainan Airlines,2012'Q2,4246.0,public,CN,China,HU
Aeroflot,2012'Q2,6836.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q3,24636.0,public,US,North America,AA
Delta Air Lines,2012'Q3,36281.0,public,US,North America,DL
Southwest Airlines,2012'Q3,16731.0,public,US,North America,WN
United Airlines,2012'Q3,37142.0,public,US,North America,UA
Alaska Air,2012'Q3,4572.0,public,US,North America,AS
JetBlue,2012'Q3,4863.0,public,US,North America,B6
SkyWest,2012'Q3,3565.0,public,US,North America,OO
Air Canada,2012'Q3,11973.0,public,CA,North America,AC
IAG,2012'Q3,23137.0,public,EU,Europe,
Air France-KLM,2012'Q3,35176.0,public,EU,Europe,AF/KL
Ryanair,2012'Q3,6156.0,public,EU,Europe,FR
easyJet,2012'Q3,6026.0,public,EU,Europe,U2
Finnair,2012'Q3,3179.0,public,EU,Europe,AY
Singapore Airlines,2012'Q3,12060.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q3,16017.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q3,12784.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q3,8886.0,public,CL,Latin America,LA
Air China,2012'Q3,15915.0,public,CN,China,CA
China Eastern,2012'Q3,13539.0,public,CN,China,MU
China Southern,2012'Q3,15669.0,public,CN,China,CZ
Hainan Airlines,2012'Q3,4349.0,public,CN,China,HU
Aeroflot,2012'Q3,7492.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q4,24855.0,public,US,North America,AA
Delta Air Lines,2012'Q4,36670.0,public,US,North America,DL
Southwest Airlines,2012'Q4,17088.0,public,US,North America,WN
United Airlines,2012'Q4,37152.0,public,US,North America,UA
Alaska Air,2012'Q4,4657.0,public,US,North America,AS
JetBlue,2012'Q4,4982.0,public,US,North America,B6
SkyWest,2012'Q4,3534.0,public,US,North America,OO
Air Canada,2012'Q4,12172.0,public,CA,North America,AC
IAG,2012'Q4,23904.0,public,EU,Europe,
Air France-KLM,2012'Q4,35527.0,public,EU,Europe,AF/KL
Ryanair,2012'Q4,6254.0,public,EU,Europe,FR
easyJet,2012'Q4,6240.0,public,EU,Europe,U2
Finnair,2012'Q4,3259.0,public,EU,Europe,AY
Singapore Airlines,2012'Q4,12141.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q4,16024.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q4,12822.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q4,9942.0,public,CL,Latin America,LA
Air China,2012'Q4,16023.0,public,CN,China,CA
China Eastern,2012'Q4,13632.0,public,CN,China,MU
China Southern,2012'Q4,16064.0,public,CN,China,CZ
Hainan Airlines,2012'Q4,4451.0,public,CN,China,HU
Aeroflot,2012'Q4,8149.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q1,25327.0,public,US,North America,AA
Delta Air Lines,2013'Q1,36946.0,public,US,North America,DL
Southwest Airlines,2013'Q1,17241.0,public,US,North America,WN
United Airlines,2013'Q1,37434.0,public,US,North America,UA
Alaska Air,2013'Q1,4782.0,public,US,North America,AS
JetBlue,2013'Q1,5097.0,public,US,North America,B6
SkyWest,2013'Q1,3475.0,public,US,North America,OO
Air Canada,2013'Q1,12039.0,public,CA,North America,AC
IAG,2013'Q1,24330.0,public,EU,Europe,
Air France-KLM,2013'Q1,34473.0,public,EU,Europe,AF/KL
Ryanair,2013'Q1,6427.0,public,EU,Europe,FR
easyJet,2013'Q1,6399.0,public,EU,Europe,U2
Finnair,2013'Q1,3278.0,public,EU,Europe,AY
Singapore Airlines,2013'Q1,12129.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q1,15703.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q1,12856.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q1,10773.0,public,CL,Latin America,LA
Air China,2013'Q1,16039.0,public,CN,China,CA
China Eastern,2013'Q1,13821.0,public,CN,China,MU
China Southern,2013'Q1,16140.0,public,CN,China,CZ
Hainan Airlines,2013'Q1,4677.0,public,CN,China,HU
Aeroflot,2013'Q1,8337.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q2,25799.0,public,US,North America,AA
Delta Air Lines,2013'Q2,37222.0,public,US,North America,DL
Southwest Airlines,2013'Q2,17394.0,public,US,North America,WN
United Airlines,2013'Q2,37716.0,public,US,North America,UA
Alaska Air,2013'Q2,4907.0,public,US,North America,AS
JetBlue,2013'Q2,5212.0,public,US,North America,B6
SkyWest,2013'Q2,3416.0,public,US,North America,OO
Air Canada,2013'Q2,11905.0,public,CA,North America,AC
IAG,2013'Q2,24756.0,public,EU,Europe,
Air France-KLM,2013'Q2,33419.0,public,EU,Europe,AF/KL
Ryanair,2013'Q2,6599.0,public,EU,Europe,FR
easyJet,2013'Q2,6559.0,public,EU,Europe,U2
Finnair,2013'Q2,3298.0,public,EU,Europe,AY
Singapore Airlines,2013'Q2,12117.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q2,15382.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q2,12891.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q2,11604.0,public,CL,Latin America,LA
Air China,2013'Q2,16056.0,public,CN,China,CA
China Eastern,2013'Q2,14010.0,public,CN,China,MU
China Southern,2013'Q2,16217.0,public,CN,China,CZ
Hainan Airlines,2013'Q2,4903.0,public,CN,China,HU
Aeroflot,2013'Q2,8525.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q3,26271.0,public,US,North America,AA
Delta Air Lines,2013'Q3,37497.0,public,US,North America,DL
Southwest Airlines,2013'Q3,17546.0,public,US,North America,WN
United Airlines,2013'Q3,37997.0,public,US,North America,UA
Alaska Air,2013'Q3,5031.0,public,US,North America,AS
JetBlue,2013'Q3,5326.0,public,US,North America,B6
SkyWest,2013'Q3,3357.0,public,US,North America,OO
Air Canada,2013'Q3,11771.0,public,CA,North America,AC
IAG,2013'Q3,25182.0,public,EU,Europe,
Air France-KLM,2013'Q3,32365.0,public,EU,Europe,AF/KL
Ryanair,2013'Q3,6772.0,public,EU,Europe,FR
easyJet,2013'Q3,6718.0,public,EU,Europe,U2
Finnair,2013'Q3,3317.0,public,EU,Europe,AY
Singapore Airlines,2013'Q3,12105.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q3,15061.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q3,12925.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q3,12435.0,public,CL,Latin America,LA
Air China,2013'Q3,16072.0,public,CN,China,CA
China Eastern,2013'Q3,14199.0,public,CN,China,MU
China Southern,2013'Q3,16293.0,public,CN,China,CZ
Hainan Airlines,2013'Q3,5129.0,public,CN,China,HU
Aeroflot,2013'Q3,8713.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q4,26743.0,public,US,North America,AA
Delta Air Lines,2013'Q4,37773.0,public,US,North America,DL
Southwest Airlines,2013'Q4,17699.0,public,US,North America,WN
United Airlines,2013'Q4,38279.0,public,US,North America,UA
Alaska Air,2013'Q4,5156.0,public,US,North America,AS
JetBlue,2013'Q4,5441.0,public,US,North America,B6
SkyWest,2013'Q4,3298.0,public,US,North America,OO
Air Canada,2013'Q4,11637.0,public,CA,North America,AC
IAG,2013'Q4,25609.0,public,EU,Europe,
Air France-KLM,2013'Q4,31310.0,public,EU,Europe,AF/KL
Ryanair,2013'Q4,6945.0,public,EU,Europe,FR
easyJet,2013'Q4,6878.0,public,EU,Europe,U2
Finnair,2013'Q4,3336.0,public,EU,Europe,AY
Singapore Airlines,2013'Q4,12094.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q4,14740.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q4,12960.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q4,13266.0,public,CL,Latin America,LA
Air China,2013'Q4,16089.0,public,CN,China,CA
China Eastern,2013'Q4,14388.0,public,CN,China,MU
China Southern,2013'Q4,16369.0,public,CN,China,CZ
Hainan Airlines,2013'Q4,5355.0,public,CN,China,HU
Aeroflot,2013'Q4,8901.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q1,30720.0,public,US,North America,AA
Delta Air Lines,2014'Q1,38420.0,public,US,North America,DL
Southwest Airlines,2014'Q1,17926.0,public,US,North America,WN
United Airlines,2014'Q1,38435.0,public,US,North America,UA
Alaska Air,2014'Q1,5209.0,public,US,North America,AS
JetBlue,2014'Q1,5535.0,public,US,North America,B6
SkyWest,2014'Q1,3283.0,public,US,North America,OO
Air Canada,2014'Q1,11589.0,public,CA,North America,AC
IAG,2014'Q1,25328.0,public,EU,Europe,
Air France-KLM,2014'Q1,30568.0,public,EU,Europe,AF/KL
Ryanair,2014'Q1,6729.0,public,EU,Europe,FR
easyJet,2014'Q1,6990.0,public,EU,Europe,U2
Finnair,2014'Q1,3201.0,public,EU,Europe,AY
Singapore Airlines,2014'Q1,11897.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q1,14670.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q1,13137.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q1,13067.0,public,CL,Latin America,LA
Air China,2014'Q1,16396.0,public,CN,China,CA
China Eastern,2014'Q1,14625.0,public,CN,China,MU
China Southern,2014'Q1,16792.0,public,CN,China,CZ
Hainan Airlines,2014'Q1,5486.0,public,CN,China,HU
Aeroflot,2014'Q1,8100.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q2,34697.0,public,US,North America,AA
Delta Air Lines,2014'Q2,39068.0,public,US,North America,DL
Southwest Airlines,2014'Q2,18152.0,public,US,North America,WN
United Airlines,2014'Q2,38590.0,public,US,North America,UA
Alaska Air,2014'Q2,5262.0,public,US,North America,AS
JetBlue,2014'Q2,5629.0,public,US,North America,B6
SkyWest,2014'Q2,3268.0,public,US,North America,OO
Air Canada,2014'Q2,11540.0,public,CA,North America,AC
IAG,2014'Q2,25048.0,public,EU,Europe,
Air France-KLM,2014'Q2,29826.0,public,EU,Europe,AF/KL
Ryanair,2014'Q2,6514.0,public,EU,Europe,FR
easyJet,2014'Q2,7101.0,public,EU,Europe,U2
Finnair,2014'Q2,3066.0,public,EU,Europe,AY
Singapore Airlines,2014'Q2,11701.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q2,14601.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q2,13313.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q2,12869.0,public,CL,Latin America,LA
Air China,2014'Q2,16703.0,public,CN,China,CA
China Eastern,2014'Q2,14861.0,public,CN,China,MU
China Southern,2014'Q2,17215.0,public,CN,China,CZ
Hainan Airlines,2014'Q2,5617.0,public,CN,China,HU
Aeroflot,2014'Q2,7298.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q3,38673.0,public,US,North America,AA
Delta Air Lines,2014'Q3,39715.0,public,US,North America,DL
Southwest Airlines,2014'Q3,18379.0,public,US,North America,WN
United Airlines,2014'Q3,38746.0,public,US,North America,UA
Alaska Air,2014'Q3,5315.0,public,US,North America,AS
JetBlue,2014'Q3,5723.0,public,US,North America,B6
SkyWest,2014'Q3,3253.0,public,US,North America,OO
Air Canada,2014'Q3,11491.0,public,CA,North America,AC
IAG,2014'Q3,24768.0,public,EU,Europe,
Air France-KLM,2014'Q3,29084.0,public,EU,Europe,AF/KL
Ryanair,2014'Q3,6299.0,public,EU,Europe,FR
easyJet,2014'Q3,7213.0,public,EU,Europe,U2
Finnair,2014'Q3,2931.0,public,EU,Europe,AY
Singapore Airlines,2014'Q3,11504.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q3,14531.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q3,13490.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q3,12670.0,public,CL,Latin America,LA
Air China,2014'Q3,17010.0,public,CN,China,CA
China Eastern,2014'Q3,15097.0,public,CN,China,MU
China Southern,2014'Q3,17637.0,public,CN,China,CZ
Hainan Airlines,2014'Q3,5748.0,public,CN,China,HU
Aeroflot,2014'Q3,6497.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q4,42650.0,public,US,North America,AA
Delta Air Lines,2014'Q4,40362.0,public,US,North America,DL
Southwest Airlines,2014'Q4,18605.0,public,US,North America,WN
United Airlines,2014'Q4,38901.0,public,US,North America,UA
Alaska Air,2014'Q4,5368.0,public,US,North America,AS
JetBlue,2014'Q4,5817.0,public,US,North America,B6
SkyWest,2014'Q4,3237.0,public,US,North America,OO
Air Canada,2014'Q4,11442.0,public,CA,North America,AC
IAG,2014'Q4,24488.0,public,EU,Europe,
Air France-KLM,2014'Q4,28342.0,public,EU,Europe,AF/KL
Ryanair,2014'Q4,6083.0,public,EU,Europe,FR
easyJet,2014'Q4,7325.0,public,EU,Europe,U2
Finnair,2014'Q4,2796.0,public,EU,Europe,AY
Singapore Airlines,2014'Q4,11308.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q4,14462.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q4,13667.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q4,12471.0,public,CL,Latin America,LA
Air China,2014'Q4,17317.0,public,CN,China,CA
China Eastern,2014'Q4,15333.0,public,CN,China,MU
China Southern,2014'Q4,18060.0,public,CN,China,CZ
Hainan Airlines,2014'Q4,5879.0,public,CN,China,HU
Qatar Airways,2014'Q4,9272.0,private,QA,Middle East,QR
Aeroflot,2014'Q4,5696.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q1,42235.0,public,US,North America,AA
Delta Air Lines,2015'Q1,40448.0,public,US,North America,DL
Southwest Airlines,2015'Q1,18909.0,public,US,North America,WN
United Airlines,2015'Q1,38642.0,public,US,North America,UA
Alaska Air,2015'Q1,5426.0,public,US,North America,AS
JetBlue,2015'Q1,5967.0,public,US,North America,B6
SkyWest,2015'Q1,3202.0,public,US,North America,OO
Air Canada,2015'Q1,11097.0,public,CA,North America,AC
IAG,2015'Q1,24588.0,public,EU,Europe,
Air France-KLM,2015'Q1,27849.0,public,EU,Europe,AF/KL
Ryanair,2015'Q1,6423.0,public,EU,Europe,FR
easyJet,2015'Q1,7274.0,public,EU,Europe,U2
Finnair,2015'Q1,2767.0,public,EU,Europe,AY
Singapore Airlines,2015'Q1,11299.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q1,13883.0,public,AU,Asia Pacific,QF
Cathay Pacific,2015'Q1,13551.0,public,HK,Asia Pacific,CX
LATAM Airlines,2015'Q1,11885.0,public,CL,Latin America,LA
Air China,2015'Q1,17227.0,public,CN,China,CA
China Eastern,2015'Q1,15305.0,public,CN,China,MU
China Southern,2015'Q1,17828.0,public,CN,China,CZ
Hainan Airlines,2015'Q1,5762.0,public,CN,China,HU
Qatar Airways,2015'Q1,9373.0,private,QA,Middle East,QR
Aeroflot,2015'Q1,5743.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q2,41820.0,public,US,North America,AA
Delta Air Lines,2015'Q2,40533.0,public,US,North America,DL
Southwest Airlines,2015'Q2,19213.0,public,US,North America,WN
United Airlines,2015'Q2,38383.0,public,US,North America,UA
Alaska Air,2015'Q2,5483.0,public,US,North America,AS
JetBlue,2015'Q2,6117.0,public,US,North America,B6
SkyWest,2015'Q2,3167.0,public,US,North America,OO
Air Canada,2015'Q2,10751.0,public,CA,North America,AC
IAG,2015'Q2,24687.0,public,EU,Europe,
Air France-KLM,2015'Q2,27357.0,public,EU,Europe,AF/KL
Ryanair,2015'Q2,6762.0,public,EU,Europe,FR
easyJet,2015'Q2,7223.0,public,EU,Europe,U2
Finnair,2015'Q2,2738.0,public,EU,Europe,AY
Singapore Airlines,2015'Q2,11290.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q2,13304.0,public,AU,Asia Pacific,QF
Cathay Pacific,2015'Q2,13436.0,public,HK,Asia Pacific,CX
LATAM Airlines,2015'Q2,11298.0,public,CL,Latin America,LA
Air China,2015'Q2,17136.0,public,CN,China,CA
China Eastern,2015'Q2,15276.0,public,CN,China,MU
China Southern,2015'Q2,17597.0,public,CN,China,CZ
Hainan Airlines,2015'Q2,5645.0,public,CN,China,HU
Qatar Airways,2015'Q2,9473.0,private,QA,Middle East,QR
Aeroflot,2015'Q2,5791.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q3,41405.0,public,US,North America,AA
Delta Air Lines,2015'Q3,40619.0,public,US,North America,DL
