Airline,Date,Value,Status,Country,Region,IATA,Revenue,EBITDA
ANA Holdings,2014'Q4,14266.0,public,JP,Asia Pacific,NH,-8.0,13.0
Korean Air,2014'Q4,10834.0,public,KR,Asia Pacific,KE,-4.0,4.0
Asiana Airlines,2014'Q4,5309.0,public,KR,Asia Pacific,OZ,-2.0,2.0
Cathay Pacific,2014'Q4,13667.0,public,HK,Asia Pacific,CX,5.0,13.0
Copa Holdings,2014'Q4,2726.0,public,PA,Latin America,CM,5.0,24.0
Gol Linhas Aereas,2014'Q4,3817.0,public,BR,Latin America,G3,-1.0,10.0
Air China,2014'Q4,17317.0,public,CN,China,CA,8.0,17.0
China Eastern,2014'Q4,15333.0,public,CN,China,MU,7.0,16.0
China Southern,2014'Q4,18060.0,public,CN,China,CZ,10.0,14.0
Hainan Airlines,2014'Q4,5879.0,public,CN,China,HU,10.0,24.0
Spring Airlines,2014'Q4,1195.0,public,CN,China,9C,11.0,14.0
Juneyao Airlines,2014'Q4,1085.0,public,CN,China,HO,12.0,12.0
SpiceJet,2014'Q4,843.0,public,IN,India,SG,-20.0,-8.0
Kenya Airlines,2014'Q4,1193.0,public,KE,Africa,KQ,-3.0,1.0
Comair,2014'Q4,593.0,public,ZA,Africa,MN,11.0,11.0
Emirates,2014'Q4,26235.0,private,AE,Middle East,EK,10.0,21.0
Aeroflot,2014'Q4,5696.0,"taken private 2023, war",RU,Russia,SU,-30.0,8.0
Air Arabia,2014'Q4,1040.0,public,AE,Middle East,G9,18.0,23.0
Jazeera Airways,2014'Q4,240.0,public,KW,Middle East,J9,2.0,29.0
American Airlines,2015'Q1,42235.0,public,US,North America,AA,44.0,17.0
Delta Air Lines,2015'Q1,40448.0,public,US,North America,DL,5.0,11.0
Southwest Airlines,2015'Q1,18909.0,public,US,North America,WN,5.0,20.0
United Airlines,2015'Q1,38642.0,public,US,North America,UA,1.0,13.0
Alaska Air,2015'Q1,5426.0,public,US,North America,AS,4.0,25.0
JetBlue,2015'Q1,5967.0,public,US,North America,B6,8.0,17.0
Spirit Airlines,2015'Q1,1984.0,public,US,North America,NK,15.0,23.0
Allegiant,2015'Q1,1168.0,public,US,North America,G4,13.0,28.0
Hawaiian,2015'Q1,2316.0,public,US,North America,HA,6.0,17.0
SkyWest,2015'Q1,3202.0,public,US,North America,OO,-2.0,12.0
Air Canada,2015'Q1,11097.0,public,CA,North America,AC,-4.0,12.0
WestJet Airlines,2015'Q1,3299.0,public,CA,North America,WS,-4.0,18.0
Exchange Income Corporation,2015'Q1,497.0,public,CA,North America,,-30.0,19.0
IAG,2015'Q1,24588.0,public,EU,Europe,IAG,-3.0,13.0
Air France-KLM,2015'Q1,32100.0,public,EU,Europe,AF/KL,-5.0,9.0
Ryanair,2015'Q1,6423.0,public,EU,Europe,FR,-4.0,26.0
easyJet,2015'Q1,7274.0,public,EU,Europe,U2,4.0,16.0
Deutsche Lufthansa,2015'Q1,38825.0,public,EU,Europe,LH,-3.0,11.0
Norwegian Air Shuttle,2015'Q1,2611.0,public,EU,Europe,DY,-1.0,2.0
Finnair,2015'Q1,2767.0,public,EU,Europe,AY,-13.0,5.0
Wizz Air,2015'Q1,1397.0,public,EU,Europe,W6,2.0,17.0
Singapore Airlines,2015'Q1,11299.0,public,SG,Asia Pacific,SQ,-5.0,16.0
Qantas Airways,2015'Q1,13883.0,public,AU,Asia Pacific,QF,-5.0,6.0
Japan Airlines,2015'Q1,11364.0,public,JP,Asia Pacific,JL,-8.0,20.0
ANA Holdings,2015'Q1,14675.0,public,JP,Asia Pacific,NH,-3.0,14.0
Korean Air,2015'Q1,10587.0,public,KR,Asia Pacific,KE,-5.0,5.0
Asiana Airlines,2015'Q1,5163.0,public,KR,Asia Pacific,OZ,-4.0,2.0
Cathay Pacific,2015'Q1,13551.0,public,HK,Asia Pacific,CX,3.0,13.0
Copa Holdings,2015'Q1,2609.0,public,PA,Latin America,CM,-1.0,23.0
Gol Linhas Aereas,2015'Q1,3490.0,public,BR,Latin America,G3,-9.0,8.0
LATAM Airlines,2015'Q1,11885.0,public,CL,Latin America,LA,-9.0,13.0
Air China,2015'Q1,17227.0,public,CN,China,CA,5.0,19.0
China Eastern,2015'Q1,15305.0,public,CN,China,MU,5.0,18.0
China Southern,2015'Q1,17828.0,public,CN,China,CZ,6.0,15.0
Hainan Airlines,2015'Q1,5762.0,public,CN,China,HU,5.0,25.0
Spring Airlines,2015'Q1,1207.0,public,CN,China,9C,10.0,15.0
Juneyao Airlines,2015'Q1,1127.0,public,CN,China,HO,13.0,14.0
Indigo,2015'Q1,2281.0,public,IN,India,6E,10.0,16.0
SpiceJet,2015'Q1,824.0,public,IN,India,SG,-18.0,-2.0
Kenya Airlines,2015'Q1,1181.0,public,KE,Africa,KQ,-3.0,3.0
Comair,2015'Q1,565.0,public,ZA,Africa,MN,4.0,12.0
Emirates,2015'Q1,25993.0,private,AE,Middle East,EK,6.0,22.0
Qatar Airways,2015'Q1,9373.0,private,QA,Middle East,QR,4.0,20.0
Aeroflot,2015'Q1,5743.0,"taken private 2023, war",RU,Russia,SU,-26.0,10.0
Air Arabia,2015'Q1,1044.0,public,AE,Middle East,G9,14.0,24.0
Jazeera Airways,2015'Q1,232.0,public,KW,Middle East,J9,-2.0,29.0
American Airlines,2015'Q2,41820.0,public,US,North America,AA,28.0,19.0
Delta Air Lines,2015'Q2,40533.0,public,US,North America,DL,4.0,16.0
Southwest Airlines,2015'Q2,19213.0,public,US,North America,WN,6.0,22.0
United Airlines,2015'Q2,38383.0,public,US,North America,UA,-1.0,15.0
Alaska Air,2015'Q2,5483.0,public,US,North America,AS,4.0,27.0
JetBlue,2015'Q2,6117.0,public,US,North America,B6,9.0,19.0
Spirit Airlines,2015'Q2,2037.0,public,US,North America,NK,14.0,24.0
Allegiant,2015'Q2,1200.0,public,US,North America,G4,13.0,31.0
Hawaiian,2015'Q2,2316.0,public,US,North America,HA,4.0,19.0
SkyWest,2015'Q2,3167.0,public,US,North America,OO,-3.0,14.0
Air Canada,2015'Q2,10751.0,public,CA,North America,AC,-7.0,13.0
WestJet Airlines,2015'Q2,3170.0,public,CA,North America,WS,-8.0,19.0
Exchange Income Corporation,2015'Q2,526.0,public,CA,North America,,-13.0,20.0
IAG,2015'Q2,24687.0,public,EU,Europe,IAG,-1.0,12.0
Air France-KLM,2015'Q2,31000.0,public,EU,Europe,AF/KL,-8.0,9.0
Ryanair,2015'Q2,6762.0,public,EU,Europe,FR,5.0,27.0
easyJet,2015'Q2,7223.0,public,EU,Europe,U2,2.0,17.0
Deutsche Lufthansa,2015'Q2,37750.0,public,EU,Europe,LH,-5.0,12.0
Norwegian Air Shuttle,2015'Q2,2591.0,public,EU,Europe,DY,-2.0,4.0
Finnair,2015'Q2,2738.0,public,EU,Europe,AY,-10.0,6.0
Wizz Air,2015'Q2,1474.0,public,EU,Europe,W6,9.0,17.0
Singapore Airlines,2015'Q2,11290.0,public,SG,Asia Pacific,SQ,-3.0,17.0
Qantas Airways,2015'Q2,13304.0,public,AU,Asia Pacific,QF,-9.0,9.0
Japan Airlines,2015'Q2,11532.0,public,JP,Asia Pacific,JL,-3.0,21.0
ANA Holdings,2015'Q2,15085.0,public,JP,Asia Pacific,NH,2.0,14.0
Korean Air,2015'Q2,10340.0,public,KR,Asia Pacific,KE,-6.0,6.0
Asiana Airlines,2015'Q2,5018.0,public,KR,Asia Pacific,OZ,-7.0,1.0
Cathay Pacific,2015'Q2,13436.0,public,HK,Asia Pacific,CX,1.0,14.0
Copa Holdings,2015'Q2,2492.0,public,PA,Latin America,CM,-6.0,21.0
Gol Linhas Aereas,2015'Q2,3163.0,public,BR,Latin America,G3,-18.0,6.0
LATAM Airlines,2015'Q2,11298.0,public,CL,Latin America,LA,-12.0,13.0
Air China,2015'Q2,17136.0,public,CN,China,CA,3.0,22.0
China Eastern,2015'Q2,15276.0,public,CN,China,MU,3.0,20.0
China Southern,2015'Q2,17597.0,public,CN,China,CZ,3.0,17.0
Hainan Airlines,2015'Q2,5645.0,public,CN,China,HU,1.0,27.0
Spring Airlines,2015'Q2,1219.0,public,CN,China,9C,8.0,17.0
Juneyao Airlines,2015'Q2,1170.0,public,CN,China,HO,14.0,17.0
Indigo,2015'Q2,2335.0,public,IN,India,6E,10.0,17.0
SpiceJet,2015'Q2,806.0,public,IN,India,SG,-15.0,4.0
Kenya Airlines,2015'Q2,1170.0,public,KE,Africa,KQ,-3.0,5.0
Comair,2015'Q2,538.0,public,ZA,Africa,MN,-4.0,12.0
Emirates,2015'Q2,25751.0,private,AE,Middle East,EK,3.0,24.0
Qatar Airways,2015'Q2,9473.0,private,QA,Middle East,QR,4.0,21.0
Aeroflot,2015'Q2,5791.0,"taken private 2023, war",RU,Russia,SU,-16.0,12.0
Air Arabia,2015'Q2,1047.0,public,AE,Middle East,G9,9.0,25.0
Jazeera Airways,2015'Q2,224.0,public,KW,Middle East,J9,-5.0,29.0
American Airlines,2015'Q3,41405.0,public,US,North America,AA,12.0,20.0
Delta Air Lines,2015'Q3,40619.0,public,US,North America,DL,2.0,22.0
Southwest Airlines,2015'Q3,19516.0,public,US,North America,WN,6.0,24.0
United Airlines,2015'Q3,38123.0,public,US,North America,UA,-2.0,17.0
Alaska Air,2015'Q3,5541.0,public,US,North America,AS,4.0,28.0
JetBlue,2015'Q3,6266.0,public,US,North America,B6,9.0,21.0
Spirit Airlines,2015'Q3,2089.0,public,US,North America,NK,12.0,26.0
Allegiant,2015'Q3,1231.0,public,US,North America,G4,12.0,34.0
Hawaiian,2015'Q3,2317.0,public,US,North America,HA,2.0,21.0
SkyWest,2015'Q3,3131.0,public,US,North America,OO,-4.0,15.0
Air Canada,2015'Q3,10405.0,public,CA,North America,AC,-9.0,14.0
WestJet Airlines,2015'Q3,3041.0,public,CA,North America,WS,-11.0,20.0
Exchange Income Corporation,2015'Q3,554.0,public,CA,North America,,6.0,21.0
IAG,2015'Q3,24786.0,public,EU,Europe,IAG,0.0,12.0
Air France-KLM,2015'Q3,29900.0,public,EU,Europe,AF/KL,-10.0,9.0
Ryanair,2015'Q3,7102.0,public,EU,Europe,FR,14.0,28.0
easyJet,2015'Q3,7173.0,public,EU,Europe,U2,0.0,17.0
Deutsche Lufthansa,2015'Q3,36675.0,public,EU,Europe,LH,-8.0,13.0
Norwegian Air Shuttle,2015'Q3,2572.0,public,EU,Europe,DY,-2.0,6.0
Finnair,2015'Q3,2709.0,public,EU,Europe,AY,-7.0,7.0
Wizz Air,2015'Q3,1550.0,public,EU,Europe,W6,16.0,18.0
Singapore Airlines,2015'Q3,11280.0,public,SG,Asia Pacific,SQ,-2.0,17.0
Qantas Airways,2015'Q3,12725.0,public,AU,Asia Pacific,QF,-12.0,11.0
Japan Airlines,2015'Q3,11700.0,public,JP,Asia Pacific,JL,1.0,22.0
ANA Holdings,2015'Q3,15494.0,public,JP,Asia Pacific,NH,7.0,15.0
Korean Air,2015'Q3,10093.0,public,KR,Asia Pacific,KE,-8.0,7.0
Asiana Airlines,2015'Q3,4872.0,public,KR,Asia Pacific,OZ,-9.0,1.0
Cathay Pacific,2015'Q3,13320.0,public,HK,Asia Pacific,CX,-1.0,15.0
Copa Holdings,2015'Q3,2374.0,public,PA,Latin America,CM,-12.0,19.0
Gol Linhas Aereas,2015'Q3,2836.0,public,BR,Latin America,G3,-26.0,4.0
LATAM Airlines,2015'Q3,10712.0,public,CL,Latin America,LA,-16.0,13.0
Air China,2015'Q3,17045.0,public,CN,China,CA,0.0,24.0
China Eastern,2015'Q3,15247.0,public,CN,China,MU,1.0,21.0
China Southern,2015'Q3,17365.0,public,CN,China,CZ,-1.0,18.0
Hainan Airlines,2015'Q3,5527.0,public,CN,China,HU,-4.0,28.0
Spring Airlines,2015'Q3,1231.0,public,CN,China,9C,6.0,18.0
Juneyao Airlines,2015'Q3,1212.0,public,CN,China,HO,15.0,19.0
Indigo,2015'Q3,2388.0,public,IN,India,6E,10.0,18.0
SpiceJet,2015'Q3,787.0,public,IN,India,SG,-12.0,10.0
Kenya Airlines,2015'Q3,1158.0,public,KE,Africa,KQ,-4.0,6.0
Comair,2015'Q3,510.0,public,ZA,Africa,MN,-11.0,13.0
Emirates,2015'Q3,25509.0,private,AE,Middle East,EK,0.0,25.0
Qatar Airways,2015'Q3,9573.0,private,QA,Middle East,QR,4.0,23.0
Aeroflot,2015'Q3,5838.0,"taken private 2023, war",RU,Russia,SU,-6.0,14.0
Air Arabia,2015'Q3,1050.0,public,AE,Middle East,G9,5.0,25.0
Jazeera Airways,2015'Q3,217.0,public,KW,Middle East,J9,-9.0,29.0
American Airlines,2015'Q4,40990.0,public,US,North America,AA,-4.0,22.0
Delta Air Lines,2015'Q4,40704.0,public,US,North America,DL,1.0,27.0
Southwest Airlines,2015'Q4,19820.0,public,US,North America,WN,7.0,26.0
United Airlines,2015'Q4,37864.0,public,US,North America,UA,-3.0,19.0
Alaska Air,2015'Q4,5598.0,public,US,North America,AS,4.0,30.0
JetBlue,2015'Q4,6416.0,public,US,North America,B6,10.0,22.0
Spirit Airlines,2015'Q4,2141.0,public,US,North America,NK,11.0,28.0
Allegiant,2015'Q4,1262.0,public,US,North America,G4,11.0,37.0
Hawaiian,2015'Q4,2317.0,public,US,North America,HA,0.0,23.0
SkyWest,2015'Q4,3096.0,public,US,North America,OO,-4.0,16.0
Air Canada,2015'Q4,10059.0,public,CA,North America,AC,-12.0,15.0
WestJet Airlines,2015'Q4,2911.0,public,CA,North America,WS,-15.0,21.0
Exchange Income Corporation,2015'Q4,583.0,public,CA,North America,,25.0,22.0
IAG,2015'Q4,24886.0,public,EU,Europe,IAG,2.0,12.0
Air France-KLM,2015'Q4,28800.0,public,EU,Europe,AF/KL,-13.0,9.0
Ryanair,2015'Q4,7441.0,public,EU,Europe,FR,22.0,29.0
easyJet,2015'Q4,7122.0,public,EU,Europe,U2,-3.0,18.0
Deutsche Lufthansa,2015'Q4,35600.0,public,EU,Europe,LH,-11.0,13.0
Norwegian Air Shuttle,2015'Q4,2553.0,public,EU,Europe,DY,-3.0,9.0
Finnair,2015'Q4,2680.0,public,EU,Europe,AY,-4.0,8.0
Wizz Air,2015'Q4,1627.0,public,EU,Europe,W6,23.0,18.0
Singapore Airlines,2015'Q4,11271.0,public,SG,Asia Pacific,SQ,0.0,17.0
Qantas Airways,2015'Q4,12147.0,public,AU,Asia Pacific,QF,-16.0,14.0
Japan Airlines,2015'Q4,11868.0,public,JP,Asia Pacific,JL,6.0,22.0
ANA Holdings,2015'Q4,15903.0,public,JP,Asia Pacific,NH,11.0,16.0
Korean Air,2015'Q4,9846.0,public,KR,Asia Pacific,KE,-9.0,8.0
Asiana Airlines,2015'Q4,4726.0,public,KR,Asia Pacific,OZ,-11.0,1.0
Cathay Pacific,2015'Q4,13205.0,public,HK,Asia Pacific,CX,-3.0,15.0
Copa Holdings,2015'Q4,2257.0,public,PA,Latin America,CM,-17.0,18.0
Gol Linhas Aereas,2015'Q4,2509.0,public,BR,Latin America,G3,-30.0,2.0
LATAM Airlines,2015'Q4,10126.0,public,CL,Latin America,LA,-19.0,13.0
Air China,2015'Q4,16954.0,public,CN,China,CA,-2.0,26.0
China Eastern,2015'Q4,15219.0,public,CN,China,MU,-1.0,23.0
China Southern,2015'Q4,17134.0,public,CN,China,CZ,-5.0,20.0
Hainan Airlines,2015'Q4,5410.0,public,CN,China,HU,-8.0,29.0
Spring Airlines,2015'Q4,1243.0,public,CN,China,9C,4.0,19.0
Juneyao Airlines,2015'Q4,1254.0,public,CN,China,HO,16.0,21.0
Indigo,2015'Q4,2442.0,public,IN,India,6E,10.0,20.0
SpiceJet,2015'Q4,769.0,public,IN,India,SG,-9.0,15.0
Kenya Airlines,2015'Q4,1146.0,public,KE,Africa,KQ,-4.0,8.0
Comair,2015'Q4,483.0,public,ZA,Africa,MN,-18.0,13.0
Emirates,2015'Q4,25267.0,private,AE,Middle East,EK,-4.0,26.0
Qatar Airways,2015'Q4,9674.0,private,QA,Middle East,QR,4.0,25.0
Aeroflot,2015'Q4,5886.0,"taken private 2023, war",RU,Russia,SU,3.0,16.0
Air Arabia,2015'Q4,1053.0,public,AE,Middle East,G9,1.0,26.0
Jazeera Airways,2015'Q4,209.0,public,KW,Middle East,J9,-13.0,29.0
American Airlines,2016'Q1,40778.0,public,US,North America,AA,-3.0,21.0
Delta Air Lines,2016'Q1,40391.0,public,US,North America,DL,0.0,26.0
Southwest Airlines,2016'Q1,19937.0,public,US,North America,WN,5.0,25.0
United Airlines,2016'Q1,37538.0,public,US,North America,UA,-3.0,19.0
Alaska Air,2016'Q1,5680.0,public,US,North America,AS,5.0,30.0
JetBlue,2016'Q1,6458.0,public,US,North America,B6,8.0,23.0
Spirit Airlines,2016'Q1,2186.0,public,US,North America,NK,10.0,27.0
Allegiant,2016'Q1,1291.0,public,US,North America,G4,11.0,37.0
Hawaiian,2016'Q1,2346.0,public,US,North America,HA,1.0,24.0
SkyWest,2016'Q1,3088.0,public,US,North America,OO,-4.0,17.0
Air Canada,2016'Q1,10278.0,public,CA,North America,AC,-7.0,15.0
WestJet Airlines,2016'Q1,2951.0,public,CA,North America,WS,-10.0,20.0
Exchange Income Corporation,2016'Q1,603.0,public,CA,North America,,22.0,23.0
IAG,2016'Q1,24611.0,public,EU,Europe,IAG,0.0,13.0
Air France-KLM,2016'Q1,28500.0,public,EU,Europe,AF/KL,-11.0,9.0
Ryanair,2016'Q1,7358.0,public,EU,Europe,FR,16.0,29.0
easyJet,2016'Q1,6855.0,public,EU,Europe,U2,-6.0,17.0
Deutsche Lufthansa,2016'Q1,35500.0,public,EU,Europe,LH,-8.0,14.0
Norwegian Air Shuttle,2016'Q1,2670.0,public,EU,Europe,DY,2.0,9.0
Finnair,2016'Q1,2640.0,public,EU,Europe,AY,-5.0,8.0
Wizz Air,2016'Q1,1640.0,public,EU,Europe,W6,18.0,19.0
Singapore Airlines,2016'Q1,11113.0,public,SG,Asia Pacific,SQ,-2.0,17.0
Qantas Airways,2016'Q1,12118.0,public,AU,Asia Pacific,QF,-12.0,14.0
Japan Airlines,2016'Q1,11777.0,public,JP,Asia Pacific,JL,4.0,22.0
ANA Holdings,2016'Q1,15866.0,public,JP,Asia Pacific,NH,8.0,16.0
Korean Air,2016'Q1,9813.0,public,KR,Asia Pacific,KE,-7.0,8.0
Asiana Airlines,2016'Q1,4738.0,public,KR,Asia Pacific,OZ,-8.0,2.0
Cathay Pacific,2016'Q1,12894.0,public,HK,Asia Pacific,CX,-5.0,14.0
Copa Holdings,2016'Q1,2248.0,public,PA,Latin America,CM,-13.0,18.0
Gol Linhas Aereas,2016'Q1,2657.0,public,BR,Latin America,G3,-20.0,5.0
LATAM Airlines,2016'Q1,9976.0,public,CL,Latin America,LA,-16.0,13.0
Air China,2016'Q1,16858.0,public,CN,China,CA,-2.0,26.0
China Eastern,2016'Q1,15159.0,public,CN,China,MU,-1.0,23.0
China Southern,2016'Q1,16990.0,public,CN,China,CZ,-5.0,20.0
Hainan Airlines,2016'Q1,5517.0,public,CN,China,HU,-4.0,29.0
Spring Airlines,2016'Q1,1235.0,public,CN,China,9C,2.0,17.0
Juneyao Airlines,2016'Q1,1297.0,public,CN,China,HO,15.0,20.0
Indigo,2016'Q1,2548.0,public,IN,India,6E,12.0,18.0
SpiceJet,2016'Q1,816.0,public,IN,India,SG,0.0,14.0
Kenya Airlines,2016'Q1,1118.0,public,KE,Africa,KQ,-5.0,8.0
Comair,2016'Q1,464.0,public,ZA,Africa,MN,-18.0,13.0
Emirates,2016'Q1,25389.0,private,AE,Middle East,EK,-2.0,25.0
Qatar Airways,2016'Q1,9908.0,private,QA,Middle East,QR,6.0,23.0
Aeroflot,2016'Q1,6499.0,"taken private 2023, war",RU,Russia,SU,13.0,16.0
Air Arabia,2016'Q1,1051.0,public,AE,Middle East,G9,1.0,25.0
Jazeera Airways,2016'Q1,201.0,public,KW,Middle East,J9,-13.0,27.0
American Airlines,2016'Q2,40566.0,public,US,North America,AA,-3.0,21.0
Delta Air Lines,2016'Q2,40077.0,public,US,North America,DL,-1.0,25.0
Southwest Airlines,2016'Q2,20055.0,public,US,North America,WN,4.0,25.0
United Airlines,2016'Q2,37211.0,public,US,North America,UA,-3.0,19.0
Alaska Air,2016'Q2,5762.0,public,US,North America,AS,5.0,30.0
JetBlue,2016'Q2,6500.0,public,US,North America,B6,6.0,24.0
Spirit Airlines,2016'Q2,2231.0,public,US,North America,NK,10.0,26.0
Allegiant,2016'Q2,1321.0,public,US,North America,G4,10.0,36.0
Hawaiian,2016'Q2,2375.0,public,US,North America,HA,3.0,24.0
SkyWest,2016'Q2,3080.0,public,US,North America,OO,-3.0,17.0
Air Canada,2016'Q2,10497.0,public,CA,North America,AC,-2.0,15.0
WestJet Airlines,2016'Q2,2991.0,public,CA,North America,WS,-5.0,20.0
Exchange Income Corporation,2016'Q2,623.0,public,CA,North America,,19.0,23.0
IAG,2016'Q2,24337.0,public,EU,Europe,IAG,-1.0,13.0
Air France-KLM,2016'Q2,28200.0,public,EU,Europe,AF/KL,-9.0,9.0
Ryanair,2016'Q2,7274.0,public,EU,Europe,FR,9.0,30.0
easyJet,2016'Q2,6587.0,public,EU,Europe,U2,-9.0,16.0
Deutsche Lufthansa,2016'Q2,35400.0,public,EU,Europe,LH,-6.0,14.0
Norwegian Air Shuttle,2016'Q2,2788.0,public,EU,Europe,DY,8.0,9.0
Finnair,2016'Q2,2601.0,public,EU,Europe,AY,-5.0,8.0
Wizz Air,2016'Q2,1653.0,public,EU,Europe,W6,13.0,19.0
Singapore Airlines,2016'Q2,10954.0,public,SG,Asia Pacific,SQ,-3.0,17.0
Qantas Airways,2016'Q2,12088.0,public,AU,Asia Pacific,QF,-8.0,15.0
Japan Airlines,2016'Q2,11686.0,public,JP,Asia Pacific,JL,1.0,21.0
ANA Holdings,2016'Q2,15829.0,public,JP,Asia Pacific,NH,5.0,16.0
Korean Air,2016'Q2,9780.0,public,KR,Asia Pacific,KE,-5.0,9.0
Asiana Airlines,2016'Q2,4749.0,public,KR,Asia Pacific,OZ,-5.0,3.0
Cathay Pacific,2016'Q2,12583.0,public,HK,Asia Pacific,CX,-6.0,12.0
Copa Holdings,2016'Q2,2239.0,public,PA,Latin America,CM,-9.0,19.0
Gol Linhas Aereas,2016'Q2,2804.0,public,BR,Latin America,G3,-5.0,7.0
LATAM Airlines,2016'Q2,9826.0,public,CL,Latin America,LA,-12.0,13.0
Air China,2016'Q2,16761.0,public,CN,China,CA,-2.0,27.0
China Eastern,2016'Q2,15098.0,public,CN,China,MU,-1.0,23.0
China Southern,2016'Q2,16847.0,public,CN,China,CZ,-4.0,19.0
Hainan Airlines,2016'Q2,5623.0,public,CN,China,HU,0.0,28.0
Spring Airlines,2016'Q2,1228.0,public,CN,China,9C,1.0,14.0
Juneyao Airlines,2016'Q2,1340.0,public,CN,China,HO,15.0,20.0
Indigo,2016'Q2,2654.0,public,IN,India,6E,13.0,16.0
SpiceJet,2016'Q2,864.0,public,IN,India,SG,8.0,13.0
Kenya Airlines,2016'Q2,1089.0,public,KE,Africa,KQ,-7.0,9.0
Comair,2016'Q2,446.0,public,ZA,Africa,MN,-17.0,14.0
Emirates,2016'Q2,25511.0,private,AE,Middle East,EK,-1.0,24.0
Qatar Airways,2016'Q2,10143.0,private,QA,Middle East,QR,7.0,22.0
Aeroflot,2016'Q2,7111.0,"taken private 2023, war",RU,Russia,SU,22.0,17.0
Air Arabia,2016'Q2,1048.0,public,AE,Middle East,G9,0.0,24.0
Jazeera Airways,2016'Q2,193.0,public,KW,Middle East,J9,-14.0,25.0
American Airlines,2016'Q3,40354.0,public,US,North America,AA,-3.0,20.0
Delta Air Lines,2016'Q3,39764.0,public,US,North America,DL,-2.0,24.0
Southwest Airlines,2016'Q3,20172.0,public,US,North America,WN,3.0,24.0
United Airlines,2016'Q3,36885.0,public,US,North America,UA,-3.0,19.0
Alaska Air,2016'Q3,5843.0,public,US,North America,AS,5.0,30.0
JetBlue,2016'Q3,6542.0,public,US,North America,B6,5.0,24.0
Spirit Airlines,2016'Q3,2275.0,public,US,North America,NK,9.0,26.0
Allegiant,2016'Q3,1350.0,public,US,North America,G4,10.0,35.0
Hawaiian,2016'Q3,2404.0,public,US,North America,HA,4.0,25.0
SkyWest,2016'Q3,3072.0,public,US,North America,OO,-2.0,18.0
Air Canada,2016'Q3,10715.0,public,CA,North America,AC,3.0,15.0
WestJet Airlines,2016'Q3,3031.0,public,CA,North America,WS,0.0,20.0
Exchange Income Corporation,2016'Q3,644.0,public,CA,North America,,16.0,23.0
IAG,2016'Q3,24062.0,public,EU,Europe,IAG,-3.0,14.0
Air France-KLM,2016'Q3,27900.0,public,EU,Europe,AF/KL,-6.0,9.0
Ryanair,2016'Q3,7191.0,public,EU,Europe,FR,2.0,30.0
easyJet,2016'Q3,6319.0,public,EU,Europe,U2,-12.0,15.0
Deutsche Lufthansa,2016'Q3,35300.0,public,EU,Europe,LH,-4.0,14.0
Norwegian Air Shuttle,2016'Q3,2905.0,public,EU,Europe,DY,13.0,9.0
Finnair,2016'Q3,2561.0,public,EU,Europe,AY,-5.0,7.0
Wizz Air,2016'Q3,1667.0,public,EU,Europe,W6,8.0,19.0
Singapore Airlines,2016'Q3,10796.0,public,SG,Asia Pacific,SQ,-4.0,18.0
Qantas Airways,2016'Q3,12059.0,public,AU,Asia Pacific,QF,-5.0,16.0
Japan Airlines,2016'Q3,11594.0,public,JP,Asia Pacific,JL,-1.0,21.0
ANA Holdings,2016'Q3,15791.0,public,JP,Asia Pacific,NH,2.0,16.0
Korean Air,2016'Q3,9747.0,public,KR,Asia Pacific,KE,-3.0,9.0
Asiana Airlines,2016'Q3,4761.0,public,KR,Asia Pacific,OZ,-2.0,4.0
Cathay Pacific,2016'Q3,12272.0,public,HK,Asia Pacific,CX,-8.0,11.0
Copa Holdings,2016'Q3,2231.0,public,PA,Latin America,CM,-5.0,19.0
Gol Linhas Aereas,2016'Q3,2952.0,public,BR,Latin America,G3,9.0,9.0
LATAM Airlines,2016'Q3,9677.0,public,CL,Latin America,LA,-9.0,13.0
Air China,2016'Q3,16665.0,public,CN,China,CA,-2.0,27.0
China Eastern,2016'Q3,15038.0,public,CN,China,MU,-1.0,23.0
China Southern,2016'Q3,16703.0,public,CN,China,CZ,-4.0,19.0
Hainan Airlines,2016'Q3,5729.0,public,CN,China,HU,4.0,27.0
Spring Airlines,2016'Q3,1220.0,public,CN,China,9C,-1.0,11.0
Juneyao Airlines,2016'Q3,1383.0,public,CN,China,HO,14.0,19.0
Indigo,2016'Q3,2760.0,public,IN,India,6E,15.0,14.0
SpiceJet,2016'Q3,911.0,public,IN,India,SG,16.0,11.0
Kenya Airlines,2016'Q3,1060.0,public,KE,Africa,KQ,-8.0,9.0
Comair,2016'Q3,428.0,public,ZA,Africa,MN,-16.0,14.0
Emirates,2016'Q3,25633.0,private,AE,Middle East,EK,1.0,23.0
Qatar Airways,2016'Q3,10378.0,private,QA,Middle East,QR,8.0,20.0
Aeroflot,2016'Q3,7724.0,"taken private 2023, war",RU,Russia,SU,32.0,17.0
Air Arabia,2016'Q3,1045.0,public,AE,Middle East,G9,0.0,23.0
Jazeera Airways,2016'Q3,186.0,public,KW,Middle East,J9,-14.0,23.0
American Airlines,2016'Q4,40142.0,public,US,North America,AA,-2.0,19.0
Delta Air Lines,2016'Q4,39450.0,public,US,North America,DL,-3.0,24.0
Southwest Airlines,2016'Q4,20289.0,public,US,North America,WN,2.0,23.0
United Airlines,2016'Q4,36558.0,public,US,North America,UA,-3.0,19.0
Alaska Air,2016'Q4,5925.0,public,US,North America,AS,6.0,30.0
JetBlue,2016'Q4,6584.0,public,US,North America,B6,3.0,25.0
