Airline,Date,Revenue,Status,Country,Region,IATA
Northwest Airlines,2002'Q4,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q4,3.0,public,CA,North America,AC
Air France-KLM,2002'Q4,26.0,public,EU,Europe,AF/KL
Ryanair,2002'Q4,69.0,public,EU,Europe,FR
Finnair,2002'Q4,18.0,public,EU,Europe,AY
Singapore Airlines,2002'Q4,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q4,22.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q4,9.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q4,2.0,public,CL,Latin America,LA
China Eastern,2002'Q4,9.0,public,CN,China,MU
China Southern,2002'Q4,7.0,public,CN,China,CZ
Hainan Airlines,2002'Q4,46.0,public,CN,China,HU
Aeroflot,2002'Q4,1.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q1,-6.0,public,US,North America,AA
Delta Air Lines,2003'Q1,1.0,public,US,North America,DL
Southwest Airlines,2003'Q1,1.0,public,US,North America,WN
United Airlines,2003'Q1,-3.0,public,US,North America,UA
Alaska Air,2003'Q1,5.0,public,US,North America,AS
JetBlue,2003'Q1,88.0,public,US,North America,B6
SkyWest,2003'Q1,25.0,public,US,North America,OO
Northwest Airlines,2003'Q1,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q1,3.0,public,CA,North America,AC
Air France-KLM,2003'Q1,22.0,public,EU,Europe,AF/KL
Ryanair,2003'Q1,62.0,public,EU,Europe,FR
Finnair,2003'Q1,17.0,public,EU,Europe,AY
Singapore Airlines,2003'Q1,12.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q1,21.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q1,4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q1,4.0,public,CL,Latin America,LA
China Eastern,2003'Q1,9.0,public,CN,China,MU
China Southern,2003'Q1,4.0,public,CN,China,CZ
Hainan Airlines,2003'Q1,37.0,public,CN,China,HU
Aeroflot,2003'Q1,4.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q2,-4.0,public,US,North America,AA
Delta Air Lines,2003'Q2,2.0,public,US,North America,DL
Southwest Airlines,2003'Q2,3.0,public,US,North America,WN
United Airlines,2003'Q2,-4.0,public,US,North America,UA
Alaska Air,2003'Q2,7.0,public,US,North America,AS
JetBlue,2003'Q2,78.0,public,US,North America,B6
SkyWest,2003'Q2,22.0,public,US,North America,OO
Northwest Airlines,2003'Q2,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q2,3.0,public,CA,North America,AC
Air France-KLM,2003'Q2,18.0,public,EU,Europe,AF/KL
Ryanair,2003'Q2,56.0,public,EU,Europe,FR
Finnair,2003'Q2,17.0,public,EU,Europe,AY
Singapore Airlines,2003'Q2,7.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q2,21.0,public,AU,Asia Pacific,QF
LATAM Airlines,2003'Q2,7.0,public,CL,Latin America,LA
China Eastern,2003'Q2,8.0,public,CN,China,MU
China Southern,2003'Q2,2.0,public,CN,China,CZ
Hainan Airlines,2003'Q2,29.0,public,CN,China,HU
Aeroflot,2003'Q2,6.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q3,-2.0,public,US,North America,AA
Delta Air Lines,2003'Q3,2.0,public,US,North America,DL
Southwest Airlines,2003'Q3,5.0,public,US,North America,WN
United Airlines,2003'Q3,-5.0,public,US,North America,UA
Alaska Air,2003'Q3,8.0,public,US,North America,AS
JetBlue,2003'Q3,67.0,public,US,North America,B6
SkyWest,2003'Q3,18.0,public,US,North America,OO
Northwest Airlines,2003'Q3,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q3,3.0,public,CA,North America,AC
Air France-KLM,2003'Q3,14.0,public,EU,Europe,AF/KL
Ryanair,2003'Q3,49.0,public,EU,Europe,FR
Finnair,2003'Q3,16.0,public,EU,Europe,AY
