Airline,Date,Revenue,Status,Country,Region,IATA
Cathay Pacific,2010'Q4,36.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q4,23.0,public,CL,Latin America,LA
Air China,2010'Q4,61.0,public,CN,China,CA
China Eastern,2010'Q4,76.0,public,CN,China,MU
China Southern,2010'Q4,42.0,public,CN,China,CZ
Hainan Airlines,2010'Q4,44.0,public,CN,China,HU
Aeroflot,2010'Q4,31.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q1,11.0,public,US,North America,AA
Delta Air Lines,2011'Q1,13.0,public,US,North America,DL
Southwest Airlines,2011'Q1,20.0,public,US,North America,WN
United Airlines,2011'Q1,47.0,public,US,North America,UA
Alaska Air,2011'Q1,13.0,public,US,North America,AS
JetBlue,2011'Q1,16.0,public,US,North America,B6
SkyWest,2011'Q1,12.0,public,US,North America,OO
Air Canada,2011'Q1,12.0,public,CA,North America,AC
IAG,2011'Q1,5.0,public,EU,Europe,
Air France-KLM,2011'Q1,-13.0,public,EU,Europe,AF/KL
Ryanair,2011'Q1,24.0,public,EU,Europe,FR
easyJet,2011'Q1,11.0,public,EU,Europe,U2
Finnair,2011'Q1,4.0,public,EU,Europe,AY
Singapore Airlines,2011'Q1,21.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q1,9.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q1,28.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q1,24.0,public,CL,Latin America,LA
Air China,2011'Q1,51.0,public,CN,China,CA
China Eastern,2011'Q1,61.0,public,CN,China,MU
China Southern,2011'Q1,37.0,public,CN,China,CZ
Hainan Airlines,2011'Q1,40.0,public,CN,China,HU
Aeroflot,2011'Q1,30.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q2,10.0,public,US,North America,AA
Delta Air Lines,2011'Q2,12.0,public,US,North America,DL
Southwest Airlines,2011'Q2,23.0,public,US,North America,WN
United Airlines,2011'Q2,51.0,public,US,North America,UA
Alaska Air,2011'Q2,13.0,public,US,North America,AS
JetBlue,2011'Q2,17.0,public,US,North America,B6
SkyWest,2011'Q2,19.0,public,US,North America,OO
Air Canada,2011'Q2,10.0,public,CA,North America,AC
IAG,2011'Q2,5.0,public,EU,Europe,
Air France-KLM,2011'Q2,4.0,public,EU,Europe,AF/KL
Ryanair,2011'Q2,21.0,public,EU,Europe,FR
easyJet,2011'Q2,12.0,public,EU,Europe,U2
Finnair,2011'Q2,5.0,public,EU,Europe,AY
Singapore Airlines,2011'Q2,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q2,18.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q2,21.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q2,25.0,public,CL,Latin America,LA
Air China,2011'Q2,42.0,public,CN,China,CA
China Eastern,2011'Q2,46.0,public,CN,China,MU
China Southern,2011'Q2,32.0,public,CN,China,CZ
Hainan Airlines,2011'Q2,36.0,public,CN,China,HU
Aeroflot,2011'Q2,28.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q3,9.0,public,US,North America,AA
Delta Air Lines,2011'Q3,11.0,public,US,North America,DL
Southwest Airlines,2011'Q3,26.0,public,US,North America,WN
United Airlines,2011'Q3,55.0,public,US,North America,UA
Alaska Air,2011'Q3,13.0,public,US,North America,AS
JetBlue,2011'Q3,18.0,public,US,North America,B6
SkyWest,2011'Q3,26.0,public,US,North America,OO
Air Canada,2011'Q3,8.0,public,CA,North America,AC
IAG,2011'Q3,5.0,public,EU,Europe,
Air France-KLM,2011'Q3,21.0,public,EU,Europe,AF/KL
Ryanair,2011'Q3,17.0,public,EU,Europe,FR
easyJet,2011'Q3,13.0,public,EU,Europe,U2
Finnair,2011'Q3,6.0,public,EU,Europe,AY
Singapore Airlines,2011'Q3,9.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q3,27.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q3,14.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q3,26.0,public,CL,Latin America,LA
Air China,2011'Q3,32.0,public,CN,China,CA
China Eastern,2011'Q3,32.0,public,CN,China,MU
China Southern,2011'Q3,28.0,public,CN,China,CZ
Hainan Airlines,2011'Q3,31.0,public,CN,China,HU
Aeroflot,2011'Q3,27.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2011'Q4,8.0,public,US,North America,AA
Delta Air Lines,2011'Q4,11.0,public,US,North America,DL
Southwest Airlines,2011'Q4,29.0,public,US,North America,WN
United Airlines,2011'Q4,59.0,public,US,North America,UA
Alaska Air,2011'Q4,13.0,public,US,North America,AS
JetBlue,2011'Q4,19.0,public,US,North America,B6
SkyWest,2011'Q4,32.0,public,US,North America,OO
Air Canada,2011'Q4,6.0,public,CA,North America,AC
IAG,2011'Q4,5.0,public,EU,Europe,
Air France-KLM,2011'Q4,38.0,public,EU,Europe,AF/KL
Ryanair,2011'Q4,14.0,public,EU,Europe,FR
easyJet,2011'Q4,14.0,public,EU,Europe,U2
Finnair,2011'Q4,8.0,public,EU,Europe,AY
Singapore Airlines,2011'Q4,3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2011'Q4,36.0,public,AU,Asia Pacific,QF
Cathay Pacific,2011'Q4,7.0,public,HK,Asia Pacific,CX
LATAM Airlines,2011'Q4,26.0,public,CL,Latin America,LA
Air China,2011'Q4,23.0,public,CN,China,CA
China Eastern,2011'Q4,17.0,public,CN,China,MU
China Southern,2011'Q4,23.0,public,CN,China,CZ
Hainan Airlines,2011'Q4,27.0,public,CN,China,HU
Aeroflot,2011'Q4,26.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q1,7.0,public,US,North America,AA
Delta Air Lines,2012'Q1,9.0,public,US,North America,DL
Southwest Airlines,2012'Q1,24.0,public,US,North America,WN
United Airlines,2012'Q1,44.0,public,US,North America,UA
Alaska Air,2012'Q1,11.0,public,US,North America,AS
JetBlue,2012'Q1,17.0,public,US,North America,B6
SkyWest,2012'Q1,23.0,public,US,North America,OO
Air Canada,2012'Q1,6.0,public,CA,North America,AC
IAG,2012'Q1,8.0,public,EU,Europe,
Air France-KLM,2012'Q1,30.0,public,EU,Europe,AF/KL
Ryanair,2012'Q1,12.0,public,EU,Europe,FR
easyJet,2012'Q1,14.0,public,EU,Europe,U2
Finnair,2012'Q1,9.0,public,EU,Europe,AY
Singapore Airlines,2012'Q1,3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q1,27.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q1,5.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q1,38.0,public,CL,Latin America,LA
Air China,2012'Q1,18.0,public,CN,China,CA
China Eastern,2012'Q1,13.0,public,CN,China,MU
China Southern,2012'Q1,20.0,public,CN,China,CZ
Hainan Airlines,2012'Q1,23.0,public,CN,China,HU
Aeroflot,2012'Q1,31.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q2,6.0,public,US,North America,AA
Delta Air Lines,2012'Q2,8.0,public,US,North America,DL
Southwest Airlines,2012'Q2,19.0,public,US,North America,WN
United Airlines,2012'Q2,30.0,public,US,North America,UA
Alaska Air,2012'Q2,10.0,public,US,North America,AS
JetBlue,2012'Q2,15.0,public,US,North America,B6
SkyWest,2012'Q2,14.0,public,US,North America,OO
Air Canada,2012'Q2,6.0,public,CA,North America,AC
IAG,2012'Q2,10.0,public,EU,Europe,
Air France-KLM,2012'Q2,21.0,public,EU,Europe,AF/KL
Ryanair,2012'Q2,10.0,public,EU,Europe,FR
easyJet,2012'Q2,15.0,public,EU,Europe,U2
Finnair,2012'Q2,9.0,public,EU,Europe,AY
Singapore Airlines,2012'Q2,3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q2,18.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q2,4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q2,50.0,public,CL,Latin America,LA
Air China,2012'Q2,13.0,public,CN,China,CA
China Eastern,2012'Q2,10.0,public,CN,China,MU
China Southern,2012'Q2,17.0,public,CN,China,CZ
Hainan Airlines,2012'Q2,19.0,public,CN,China,HU
Aeroflot,2012'Q2,37.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q3,5.0,public,US,North America,AA
Delta Air Lines,2012'Q3,6.0,public,US,North America,DL
Southwest Airlines,2012'Q3,14.0,public,US,North America,WN
United Airlines,2012'Q3,15.0,public,US,North America,UA
Alaska Air,2012'Q3,9.0,public,US,North America,AS
JetBlue,2012'Q3,13.0,public,US,North America,B6
SkyWest,2012'Q3,6.0,public,US,North America,OO
Air Canada,2012'Q3,7.0,public,CA,North America,AC
IAG,2012'Q3,12.0,public,EU,Europe,
Air France-KLM,2012'Q3,13.0,public,EU,Europe,AF/KL
Ryanair,2012'Q3,8.0,public,EU,Europe,FR
easyJet,2012'Q3,15.0,public,EU,Europe,U2
Finnair,2012'Q3,10.0,public,EU,Europe,AY
Singapore Airlines,2012'Q3,3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2012'Q3,9.0,public,AU,Asia Pacific,QF
Cathay Pacific,2012'Q3,3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q3,62.0,public,CL,Latin America,LA
Air China,2012'Q3,8.0,public,CN,China,CA
China Eastern,2012'Q3,6.0,public,CN,China,MU
China Southern,2012'Q3,14.0,public,CN,China,CZ
Hainan Airlines,2012'Q3,14.0,public,CN,China,HU
Aeroflot,2012'Q3,42.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2012'Q4,4.0,public,US,North America,AA
Delta Air Lines,2012'Q4,4.0,public,US,North America,DL
Southwest Airlines,2012'Q4,9.0,public,US,North America,WN
Alaska Air,2012'Q4,8.0,public,US,North America,AS
JetBlue,2012'Q4,11.0,public,US,North America,B6
SkyWest,2012'Q4,-3.0,public,US,North America,OO
Air Canada,2012'Q4,7.0,public,CA,North America,AC
IAG,2012'Q4,15.0,public,EU,Europe,
Air France-KLM,2012'Q4,4.0,public,EU,Europe,AF/KL
Ryanair,2012'Q4,7.0,public,EU,Europe,FR
easyJet,2012'Q4,16.0,public,EU,Europe,U2
Finnair,2012'Q4,11.0,public,EU,Europe,AY
Singapore Airlines,2012'Q4,3.0,public,SG,Asia Pacific,SQ
Cathay Pacific,2012'Q4,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2012'Q4,74.0,public,CL,Latin America,LA
Air China,2012'Q4,3.0,public,CN,China,CA
China Eastern,2012'Q4,3.0,public,CN,China,MU
China Southern,2012'Q4,11.0,public,CN,China,CZ
Hainan Airlines,2012'Q4,10.0,public,CN,China,HU
Aeroflot,2012'Q4,48.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q1,5.0,public,US,North America,AA
Delta Air Lines,2013'Q1,4.0,public,US,North America,DL
Southwest Airlines,2013'Q1,8.0,public,US,North America,WN
United Airlines,2013'Q1,1.0,public,US,North America,UA
Alaska Air,2013'Q1,9.0,public,US,North America,AS
JetBlue,2013'Q1,10.0,public,US,North America,B6
SkyWest,2013'Q1,-4.0,public,US,North America,OO
Air Canada,2013'Q1,4.0,public,CA,North America,AC
IAG,2013'Q1,13.0,public,EU,Europe,
Ryanair,2013'Q1,8.0,public,EU,Europe,FR
easyJet,2013'Q1,14.0,public,EU,Europe,U2
Finnair,2013'Q1,9.0,public,EU,Europe,AY
Singapore Airlines,2013'Q1,2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q1,-2.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q1,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q1,64.0,public,CL,Latin America,LA
Air China,2013'Q1,2.0,public,CN,China,CA
China Eastern,2013'Q1,3.0,public,CN,China,MU
China Southern,2013'Q1,9.0,public,CN,China,CZ
Hainan Airlines,2013'Q1,13.0,public,CN,China,HU
Aeroflot,2013'Q1,38.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q2,6.0,public,US,North America,AA
Delta Air Lines,2013'Q2,4.0,public,US,North America,DL
Southwest Airlines,2013'Q2,6.0,public,US,North America,WN
United Airlines,2013'Q2,2.0,public,US,North America,UA
Alaska Air,2013'Q2,9.0,public,US,North America,AS
JetBlue,2013'Q2,10.0,public,US,North America,B6
SkyWest,2013'Q2,-5.0,public,US,North America,OO
Air Canada,2013'Q2,1.0,public,CA,North America,AC
IAG,2013'Q2,11.0,public,EU,Europe,
Air France-KLM,2013'Q2,-4.0,public,EU,Europe,AF/KL
Ryanair,2013'Q2,9.0,public,EU,Europe,FR
easyJet,2013'Q2,13.0,public,EU,Europe,U2
Finnair,2013'Q2,7.0,public,EU,Europe,AY
Singapore Airlines,2013'Q2,1.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q2,-4.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q2,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q2,54.0,public,CL,Latin America,LA
Air China,2013'Q2,2.0,public,CN,China,CA
China Eastern,2013'Q2,4.0,public,CN,China,MU
China Southern,2013'Q2,6.0,public,CN,China,CZ
Hainan Airlines,2013'Q2,15.0,public,CN,China,HU
Aeroflot,2013'Q2,28.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q3,7.0,public,US,North America,AA
Delta Air Lines,2013'Q3,3.0,public,US,North America,DL
Southwest Airlines,2013'Q3,5.0,public,US,North America,WN
United Airlines,2013'Q3,2.0,public,US,North America,UA
Alaska Air,2013'Q3,10.0,public,US,North America,AS
JetBlue,2013'Q3,10.0,public,US,North America,B6
SkyWest,2013'Q3,-6.0,public,US,North America,OO
Air Canada,2013'Q3,-2.0,public,CA,North America,AC
IAG,2013'Q3,9.0,public,EU,Europe,
Air France-KLM,2013'Q3,-8.0,public,EU,Europe,AF/KL
Ryanair,2013'Q3,10.0,public,EU,Europe,FR
easyJet,2013'Q3,12.0,public,EU,Europe,U2
Finnair,2013'Q3,4.0,public,EU,Europe,AY
Qantas Airways,2013'Q3,-6.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q3,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q3,44.0,public,CL,Latin America,LA
Air China,2013'Q3,1.0,public,CN,China,CA
China Eastern,2013'Q3,5.0,public,CN,China,MU
China Southern,2013'Q3,4.0,public,CN,China,CZ
Hainan Airlines,2013'Q3,18.0,public,CN,China,HU
Aeroflot,2013'Q3,19.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2013'Q4,8.0,public,US,North America,AA
Delta Air Lines,2013'Q4,3.0,public,US,North America,DL
Southwest Airlines,2013'Q4,4.0,public,US,North America,WN
United Airlines,2013'Q4,3.0,public,US,North America,UA
Alaska Air,2013'Q4,11.0,public,US,North America,AS
JetBlue,2013'Q4,9.0,public,US,North America,B6
SkyWest,2013'Q4,-7.0,public,US,North America,OO
Air Canada,2013'Q4,-4.0,public,CA,North America,AC
IAG,2013'Q4,7.0,public,EU,Europe,
Air France-KLM,2013'Q4,-12.0,public,EU,Europe,AF/KL
Ryanair,2013'Q4,11.0,public,EU,Europe,FR
easyJet,2013'Q4,10.0,public,EU,Europe,U2
Finnair,2013'Q4,2.0,public,EU,Europe,AY
Qantas Airways,2013'Q4,-8.0,public,AU,Asia Pacific,QF
Cathay Pacific,2013'Q4,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2013'Q4,33.0,public,CL,Latin America,LA
China Eastern,2013'Q4,6.0,public,CN,China,MU
China Southern,2013'Q4,2.0,public,CN,China,CZ
Hainan Airlines,2013'Q4,20.0,public,CN,China,HU
Aeroflot,2013'Q4,9.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q1,21.0,public,US,North America,AA
Delta Air Lines,2014'Q1,4.0,public,US,North America,DL
Southwest Airlines,2014'Q1,4.0,public,US,North America,WN
United Airlines,2014'Q1,3.0,public,US,North America,UA
Alaska Air,2014'Q1,9.0,public,US,North America,AS
JetBlue,2014'Q1,9.0,public,US,North America,B6
SkyWest,2014'Q1,-5.0,public,US,North America,OO
Air Canada,2014'Q1,-4.0,public,CA,North America,AC
IAG,2014'Q1,4.0,public,EU,Europe,
Air France-KLM,2014'Q1,-11.0,public,EU,Europe,AF/KL
Ryanair,2014'Q1,5.0,public,EU,Europe,FR
easyJet,2014'Q1,9.0,public,EU,Europe,U2
Finnair,2014'Q1,-2.0,public,EU,Europe,AY
Singapore Airlines,2014'Q1,-2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q1,-6.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q1,2.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q1,24.0,public,CL,Latin America,LA
Air China,2014'Q1,2.0,public,CN,China,CA
China Eastern,2014'Q1,6.0,public,CN,China,MU
China Southern,2014'Q1,4.0,public,CN,China,CZ
Hainan Airlines,2014'Q1,18.0,public,CN,China,HU
Aeroflot,2014'Q1,-2.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q2,34.0,public,US,North America,AA
Delta Air Lines,2014'Q2,5.0,public,US,North America,DL
Southwest Airlines,2014'Q2,4.0,public,US,North America,WN
United Airlines,2014'Q2,2.0,public,US,North America,UA
Alaska Air,2014'Q2,7.0,public,US,North America,AS
JetBlue,2014'Q2,8.0,public,US,North America,B6
SkyWest,2014'Q2,-4.0,public,US,North America,OO
Air Canada,2014'Q2,-3.0,public,CA,North America,AC
IAG,2014'Q2,1.0,public,EU,Europe,
Air France-KLM,2014'Q2,-11.0,public,EU,Europe,AF/KL
Ryanair,2014'Q2,-1.0,public,EU,Europe,FR
easyJet,2014'Q2,8.0,public,EU,Europe,U2
Finnair,2014'Q2,-7.0,public,EU,Europe,AY
Singapore Airlines,2014'Q2,-3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q2,-5.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q2,3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q2,14.0,public,CL,Latin America,LA
Air China,2014'Q2,4.0,public,CN,China,CA
China Eastern,2014'Q2,6.0,public,CN,China,MU
China Southern,2014'Q2,6.0,public,CN,China,CZ
Hainan Airlines,2014'Q2,15.0,public,CN,China,HU
Aeroflot,2014'Q2,-13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q3,47.0,public,US,North America,AA
Delta Air Lines,2014'Q3,6.0,public,US,North America,DL
Southwest Airlines,2014'Q3,5.0,public,US,North America,WN
United Airlines,2014'Q3,2.0,public,US,North America,UA
Alaska Air,2014'Q3,6.0,public,US,North America,AS
JetBlue,2014'Q3,7.0,public,US,North America,B6
SkyWest,2014'Q3,-3.0,public,US,North America,OO
Air Canada,2014'Q3,-2.0,public,CA,North America,AC
IAG,2014'Q3,-1.0,public,EU,Europe,
Air France-KLM,2014'Q3,-10.0,public,EU,Europe,AF/KL
Ryanair,2014'Q3,-7.0,public,EU,Europe,FR
easyJet,2014'Q3,7.0,public,EU,Europe,U2
Finnair,2014'Q3,-12.0,public,EU,Europe,AY
Singapore Airlines,2014'Q3,-5.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q3,-3.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q3,4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q3,4.0,public,CL,Latin America,LA
Air China,2014'Q3,6.0,public,CN,China,CA
China Eastern,2014'Q3,6.0,public,CN,China,MU
China Southern,2014'Q3,8.0,public,CN,China,CZ
Hainan Airlines,2014'Q3,12.0,public,CN,China,HU
Aeroflot,2014'Q3,-25.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2014'Q4,59.0,public,US,North America,AA
Delta Air Lines,2014'Q4,7.0,public,US,North America,DL
Southwest Airlines,2014'Q4,5.0,public,US,North America,WN
United Airlines,2014'Q4,2.0,public,US,North America,UA
Alaska Air,2014'Q4,4.0,public,US,North America,AS
JetBlue,2014'Q4,7.0,public,US,North America,B6
SkyWest,2014'Q4,-2.0,public,US,North America,OO
Air Canada,2014'Q4,-2.0,public,CA,North America,AC
IAG,2014'Q4,-4.0,public,EU,Europe,
Air France-KLM,2014'Q4,-9.0,public,EU,Europe,AF/KL
Ryanair,2014'Q4,-12.0,public,EU,Europe,FR
easyJet,2014'Q4,6.0,public,EU,Europe,U2
Finnair,2014'Q4,-16.0,public,EU,Europe,AY
Singapore Airlines,2014'Q4,-6.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q4,-2.0,public,AU,Asia Pacific,QF
Cathay Pacific,2014'Q4,5.0,public,HK,Asia Pacific,CX
LATAM Airlines,2014'Q4,-6.0,public,CL,Latin America,LA
Air China,2014'Q4,8.0,public,CN,China,CA
China Eastern,2014'Q4,7.0,public,CN,China,MU
China Southern,2014'Q4,10.0,public,CN,China,CZ
Hainan Airlines,2014'Q4,10.0,public,CN,China,HU
Aeroflot,2014'Q4,-30.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q1,44.0,public,US,North America,AA
Delta Air Lines,2015'Q1,5.0,public,US,North America,DL
Southwest Airlines,2015'Q1,5.0,public,US,North America,WN
United Airlines,2015'Q1,1.0,public,US,North America,UA
Alaska Air,2015'Q1,4.0,public,US,North America,AS
JetBlue,2015'Q1,8.0,public,US,North America,B6
SkyWest,2015'Q1,-2.0,public,US,North America,OO
Air Canada,2015'Q1,-4.0,public,CA,North America,AC
IAG,2015'Q1,-3.0,public,EU,Europe,
Air France-KLM,2015'Q1,-9.0,public,EU,Europe,AF/KL
Ryanair,2015'Q1,-4.0,public,EU,Europe,FR
easyJet,2015'Q1,4.0,public,EU,Europe,U2
Finnair,2015'Q1,-13.0,public,EU,Europe,AY
Singapore Airlines,2015'Q1,-5.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q1,-5.0,public,AU,Asia Pacific,QF
Cathay Pacific,2015'Q1,3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2015'Q1,-9.0,public,CL,Latin America,LA
Air China,2015'Q1,5.0,public,CN,China,CA
China Eastern,2015'Q1,5.0,public,CN,China,MU
China Southern,2015'Q1,6.0,public,CN,China,CZ
Hainan Airlines,2015'Q1,5.0,public,CN,China,HU
Qatar Airways,2015'Q1,4.0,private,QA,Middle East,QR
Aeroflot,2015'Q1,-26.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q2,28.0,public,US,North America,AA
Delta Air Lines,2015'Q2,4.0,public,US,North America,DL
Southwest Airlines,2015'Q2,6.0,public,US,North America,WN
United Airlines,2015'Q2,-1.0,public,US,North America,UA
Alaska Air,2015'Q2,4.0,public,US,North America,AS
JetBlue,2015'Q2,9.0,public,US,North America,B6
SkyWest,2015'Q2,-3.0,public,US,North America,OO
Air Canada,2015'Q2,-7.0,public,CA,North America,AC
IAG,2015'Q2,-1.0,public,EU,Europe,
Air France-KLM,2015'Q2,-8.0,public,EU,Europe,AF/KL
Ryanair,2015'Q2,5.0,public,EU,Europe,FR
easyJet,2015'Q2,2.0,public,EU,Europe,U2
Finnair,2015'Q2,-10.0,public,EU,Europe,AY
Singapore Airlines,2015'Q2,-3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q2,-9.0,public,AU,Asia Pacific,QF
Cathay Pacific,2015'Q2,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2015'Q2,-12.0,public,CL,Latin America,LA
Air China,2015'Q2,3.0,public,CN,China,CA
China Eastern,2015'Q2,3.0,public,CN,China,MU
China Southern,2015'Q2,3.0,public,CN,China,CZ
Hainan Airlines,2015'Q2,1.0,public,CN,China,HU
Qatar Airways,2015'Q2,4.0,private,QA,Middle East,QR
Aeroflot,2015'Q2,-16.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q3,12.0,public,US,North America,AA
Delta Air Lines,2015'Q3,2.0,public,US,North America,DL
Southwest Airlines,2015'Q3,6.0,public,US,North America,WN
United Airlines,2015'Q3,-2.0,public,US,North America,UA
Alaska Air,2015'Q3,4.0,public,US,North America,AS
JetBlue,2015'Q3,9.0,public,US,North America,B6
SkyWest,2015'Q3,-4.0,public,US,North America,OO
Air Canada,2015'Q3,-9.0,public,CA,North America,AC
Air France-KLM,2015'Q3,-8.0,public,EU,Europe,AF/KL
Ryanair,2015'Q3,14.0,public,EU,Europe,FR
Finnair,2015'Q3,-7.0,public,EU,Europe,AY
Singapore Airlines,2015'Q3,-2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q3,-12.0,public,AU,Asia Pacific,QF
Cathay Pacific,2015'Q3,-1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2015'Q3,-16.0,public,CL,Latin America,LA
China Eastern,2015'Q3,1.0,public,CN,China,MU
China Southern,2015'Q3,-1.0,public,CN,China,CZ
Hainan Airlines,2015'Q3,-4.0,public,CN,China,HU
Qatar Airways,2015'Q3,4.0,private,QA,Middle East,QR
Aeroflot,2015'Q3,-6.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2015'Q4,-4.0,public,US,North America,AA
Delta Air Lines,2015'Q4,1.0,public,US,North America,DL
Southwest Airlines,2015'Q4,7.0,public,US,North America,WN
United Airlines,2015'Q4,-3.0,public,US,North America,UA
Alaska Air,2015'Q4,4.0,public,US,North America,AS
JetBlue,2015'Q4,10.0,public,US,North America,B6
SkyWest,2015'Q4,-4.0,public,US,North America,OO
Air Canada,2015'Q4,-12.0,public,CA,North America,AC
IAG,2015'Q4,2.0,public,EU,Europe,
Air France-KLM,2015'Q4,-7.0,public,EU,Europe,AF/KL
Ryanair,2015'Q4,22.0,public,EU,Europe,FR
easyJet,2015'Q4,-3.0,public,EU,Europe,U2
Finnair,2015'Q4,-4.0,public,EU,Europe,AY
Qantas Airways,2015'Q4,-16.0,public,AU,Asia Pacific,QF
Cathay Pacific,2015'Q4,-3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2015'Q4,-19.0,public,CL,Latin America,LA
Air China,2015'Q4,-2.0,public,CN,China,CA
China Eastern,2015'Q4,-1.0,public,CN,China,MU
China Southern,2015'Q4,-5.0,public,CN,China,CZ
Hainan Airlines,2015'Q4,-8.0,public,CN,China,HU
Qatar Airways,2015'Q4,4.0,private,QA,Middle East,QR
Aeroflot,2015'Q4,3.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2016'Q1,-3.0,public,US,North America,AA
Southwest Airlines,2016'Q1,5.0,public,US,North America,WN
United Airlines,2016'Q1,-3.0,public,US,North America,UA
Alaska Air,2016'Q1,5.0,public,US,North America,AS
JetBlue,2016'Q1,8.0,public,US,North America,B6
SkyWest,2016'Q1,-4.0,public,US,North America,OO
Air Canada,2016'Q1,-7.0,public,CA,North America,AC
Air France-KLM,2016'Q1,-1.0,public,EU,Europe,AF/KL
Ryanair,2016'Q1,16.0,public,EU,Europe,FR
easyJet,2016'Q1,-6.0,public,EU,Europe,U2
Finnair,2016'Q1,-5.0,public,EU,Europe,AY
Singapore Airlines,2016'Q1,-2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2016'Q1,-12.0,public,AU,Asia Pacific,QF
Cathay Pacific,2016'Q1,-5.0,public,HK,Asia Pacific,CX
LATAM Airlines,2016'Q1,-16.0,public,CL,Latin America,LA
Air China,2016'Q1,-2.0,public,CN,China,CA
China Eastern,2016'Q1,-1.0,public,CN,China,MU
China Southern,2016'Q1,-5.0,public,CN,China,CZ
Hainan Airlines,2016'Q1,-4.0,public,CN,China,HU
Qatar Airways,2016'Q1,6.0,private,QA,Middle East,QR
Aeroflot,2016'Q1,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2016'Q2,-3.0,public,US,North America,AA
Delta Air Lines,2016'Q2,-1.0,public,US,North America,DL
